ticker,comp_name,exchange,per_end_date,per_type,filing_date,filing_type,zacks_sector_code,lterm_debt_net_tot,eps_diluted_net_basic
PSTG,Pure Storage,NYSE,2024-01-31,A,2024-04-01,10-K,10.0,-479.309,0.19
REVG,REV Group,NYSE,2024-01-31,Q,2024-03-06,10-Q,15.0,-150.0,3.06
CAL,Caleres,NYSE,2024-01-31,A,2024-04-02,10-K,2.0,-125.5,4.8
CAL,Caleres,NYSE,2024-01-31,Q,2024-04-02,10-Q,2.0,-125.5,1.56
MTN,Vail Resorts,NYSE,2024-01-31,Q,2024-03-11,10-Q,2.0,-31.25,5.76
RFIL,RF Industries,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,10.0,-1.106,-0.13
TPET,Trio Petroleum Corp.,NYSE MKT (ex. AMEX),2024-01-31,Q,2024-03-18,10-Q,12.0,0.175,-0.05
RFL,Rafael Holdings,NYSE,2024-01-31,Q,2024-03-14,10-Q,4.0,-0.8,0.25
RH,RH,NYSE,2024-01-31,A,2024-03-28,10-K,1.0,-41.854,5.91
TOL,Toll Brothers,NYSE,2024-01-31,Q,2024-03-01,10-Q,8.0,-145.613,2.25
GIII,GIII Apparel Group,NASDAQ,2024-01-31,A,2024-03-25,10-K,2.0,-82.667,3.75
STRM,Streamline Health Solutions,NASDAQ,2024-01-31,Q,2024-04-30,10-Q,4.0,-0.75,-0.4498
FL,Foot Locker,NYSE,2024-01-31,A,2024-03-28,10-K,3.0,-6.0,-3.51
STRM,Streamline Health Solutions,NASDAQ,2024-01-31,A,2024-04-30,10-K,4.0,-0.75,-4.9475
DKS,DICK'S Sporting Goods,NYSE,2024-01-31,Q,2024-03-28,10-Q,3.0,-0.96,3.57
FL,Foot Locker,NYSE,2024-01-31,Q,2024-03-28,10-Q,3.0,-6.0,-4.14
DKS,DICK'S Sporting Goods,NYSE,2024-01-31,A,2024-03-28,10-K,3.0,-0.96,12.18
DAKT,Daktronics,NASDAQ,2024-01-31,Q,2024-02-28,10-Q,10.0,21.678,0.09
LE,Land's End,NASDAQ,2024-01-31,A,2024-04-03,10-K,3.0,-91.863,-4.09
LE,Land's End,NASDAQ,2024-01-31,Q,2024-04-03,10-Q,3.0,-91.863,-0.27
BF.B,BrownForman,NYSE,2024-01-31,Q,2024-03-06,10-Q,1.0,2678.0,0.6
SMAR,Smartsheet,NYSE,2024-01-31,A,2024-03-20,10-K,10.0,-0.034,-0.78
ABM,ABM Industries,NYSE,2024-01-31,Q,2024-03-07,10-Q,16.0,15.9,0.7
BF.A,Brown Forman,NYSE,2024-01-31,Q,2024-03-06,10-Q,1.0,2678.0,0.6
OLLI,Ollie's Bargain Outlet,NASDAQ,2024-01-31,Q,2024-03-27,10-Q,1.0,-1.027,1.23
AXR,AMREP,NYSE,2024-01-31,Q,2024-03-08,10-Q,13.0,-0.007,0.02
SWBI,Smith & Wesson Brands,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,2.0,38.951,0.17
SJM,The J. M. Smucker Co.,NYSE,2024-01-31,Q,2024-02-27,10-Q,1.0,2757.6,1.13
PDCO,Patterson Companies,NASDAQ,2024-01-31,Q,2024-02-28,10-Q,4.0,-35.25,0.52
PD,PagerDuty,NYSE,2024-01-31,Q,2024-03-15,10-Q,10.0,112.054,-0.34
PD,PagerDuty,NYSE,2024-01-31,A,2024-03-15,10-K,10.0,112.054,-0.89
SKIL,Skillsoft,NYSE,2024-01-31,A,2024-04-15,10-K,16.0,-6.404,-43.38
SKIL,Skillsoft,NYSE,2024-01-31,Q,2024-04-15,10-Q,16.0,-6.404,-30.51
GAP,The Gap,NYSE,2024-01-31,Q,2024-03-19,10-Q,3.0,1488.0,0.49
GAP,The Gap,NYSE,2024-01-31,A,2024-03-19,10-K,3.0,1488.0,1.34
M,Macy's,NYSE,2024-01-31,Q,2024-03-22,10-Q,3.0,-2.0,-0.25
M,Macy's,NYSE,2024-01-31,A,2024-03-22,10-K,3.0,-2.0,0.38
LZB,LaZBoy,NYSE,2024-01-31,Q,2024-02-20,10-Q,2.0,-0.346,0.66
SVBL,Silver Bull Resources,NASDAQ Other OTC,2024-01-31,Q,2024-03-15,10-Q,6.0,-0.0294,0.0
LAKE,Lakeland Industries,NASDAQ,2024-01-31,A,2024-04-11,10-K,7.0,0.731,0.72
LAKE,Lakeland Industries,NASDAQ,2024-01-31,Q,2024-04-11,10-Q,7.0,0.731,-0.12
OKTA,Okta,NASDAQ,2024-01-31,A,2024-03-01,10-K,10.0,-937.0,-2.17
OKTA,Okta,NASDAQ,2024-01-31,Q,2024-03-01,10-Q,10.0,-937.0,-0.26
DLTR,Dollar Tree,NASDAQ,2024-01-31,Q,2024-03-20,10-Q,3.0,3426.3,-7.78
DLTR,Dollar Tree,NASDAQ,2024-01-31,A,2024-03-20,10-K,3.0,3426.3,-4.55
DLTH,Duluth Holdings,NASDAQ,2024-01-31,Q,2024-03-22,10-Q,2.0,-3.609,0.22
OLLI,Ollie's Bargain Outlet,NASDAQ,2024-01-31,A,2024-03-27,10-K,1.0,-1.027,2.92
MAMA,"Mama's Creations, Inc.",NASDAQ,2024-01-31,A,2024-04-24,10-K,1.0,-2.674,0.17
PANW,Palo Alto Networks,NASDAQ,2024-01-31,Q,2024-02-21,10-Q,10.0,-172.3,4.89
SNPS,Synopsys,NASDAQ,2024-01-31,Q,2024-02-23,10-Q,10.0,-1.303,2.89
CHWY,Chewy,NYSE,2024-01-31,Q,2024-03-20,10-Q,3.0,-0.51,0.07
CHWY,Chewy,NYSE,2024-01-31,A,2024-03-20,10-K,3.0,-0.51,0.09
LOW,Lowe's Companies,NYSE,2024-01-31,Q,2024-03-25,10-Q,3.0,2382.0,1.81
DELL,Dell Technologies,NYSE,2024-01-31,Q,2024-03-25,10-Q,10.0,-3471.0,1.58
DELL,Dell Technologies,NYSE,2024-01-31,A,2024-03-25,10-K,10.0,-3471.0,4.36
LOW,Lowe's Companies,NYSE,2024-01-31,A,2024-03-25,10-K,3.0,2382.0,13.2
LMNR,Limoneira Co,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,1.0,11.095,-0.21
CHPT,ChargePoint,NYSE,2024-01-31,A,2024-04-01,10-K,5.0,283.704,-1.22
ZUO,Zuora,NYSE,2024-01-31,A,2024-03-26,10-K,10.0,145.861,-0.49
ZUO,Zuora,NYSE,2024-01-31,Q,2024-03-26,10-Q,10.0,145.861,-0.15
DE,Deere & Company,NYSE,2024-01-31,Q,2024-02-29,10-Q,7.0,2050.0,6.23
A,Agilent Technologies,NYSE,2024-01-31,Q,2024-03-05,10-Q,10.0,-180.0,1.18
DDS,Dillard's,NYSE,2024-01-31,Q,2024-03-29,10-Q,3.0,521.461,15.41
DDS,Dillard's,NYSE,2024-01-31,A,2024-03-29,10-K,3.0,521.461,44.73
CHPT,ChargePoint,NYSE,2024-01-31,Q,2024-04-01,10-Q,5.0,283.704,-0.21
DCI,Donaldson,NYSE,2024-01-31,Q,2024-03-04,10-Q,7.0,-53.7,0.81
BBCP,Concrete Pumping Holdings,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,16.0,-5.934,-0.08
SMTC,Semtech,NASDAQ,2024-01-31,A,2024-03-28,10-K,10.0,42.625,-17.03
OOMA,Ooma,NYSE,2024-01-31,A,2024-04-02,10-K,10.0,16.0,-0.03
SMTC,Semtech,NASDAQ,2024-01-31,Q,2024-03-28,10-Q,10.0,42.625,-10.0
OOMA,Ooma,NYSE,2024-01-31,Q,2024-04-02,10-Q,10.0,16.0,-0.12
SRCO,Sparta Commercial Services,NASDAQ Other OTC,2024-01-31,Q,2024-06-14,10-Q,13.0,0.254,-0.004
DBI,Designer Brands,NYSE,2024-01-31,A,2024-03-25,10-K,3.0,153.1599,0.46
DBI,Designer Brands,NYSE,2024-01-31,Q,2024-03-25,10-Q,3.0,153.1599,-0.44
YYAI,Connexa Sports Technologies Inc.,NASDAQ,2024-01-31,Q,2024-03-05,10-Q,2.0,1.7278,-285.8
SPWH,Sportsman's Warehouse,NASDAQ,2024-01-31,Q,2024-04-04,10-Q,3.0,38.54,-0.22
OXM,Oxford Industries,NYSE,2024-01-31,Q,2024-04-01,10-Q,2.0,-89.707,-3.72
OXM,Oxford Industries,NYSE,2024-01-31,A,2024-04-01,10-K,2.0,-89.707,3.82
SPWH,Sportsman's Warehouse,NASDAQ,2024-01-31,A,2024-04-04,10-K,3.0,38.54,-0.77
CIEN,Ciena,NYSE,2024-01-31,Q,2024-03-07,10-Q,10.0,-0.981,0.34
ZDGE,Zedge,NYSE MKT (ex. AMEX),2024-01-31,Q,2024-03-15,10-Q,10.0,-2.0,-0.66
BBWI,"Bath & Body Works, Inc.",NYSE,2024-01-31,A,2024-03-22,10-K,3.0,-462.0,3.84
BBWI,"Bath & Body Works, Inc.",NYSE,2024-01-31,Q,2024-03-22,10-Q,3.0,-462.0,2.54
DG,Dollar General,NYSE,2024-01-31,Q,2024-03-25,10-Q,3.0,1478.537,1.82
DG,Dollar General,NYSE,2024-01-31,A,2024-03-25,10-K,3.0,1478.537,7.55
BBY,Best Buy,NYSE,2024-01-31,A,2024-03-15,10-K,3.0,-19.0,5.68
BBY,Best Buy,NYSE,2024-01-31,Q,2024-03-15,10-Q,3.0,-19.0,2.11
SMAR,Smartsheet,NYSE,2024-01-31,Q,2024-03-20,10-Q,10.0,-0.034,-0.06
MAMA,"Mama's Creations, Inc.",NASDAQ,2024-01-31,Q,2024-04-24,10-Q,1.0,-2.674,0.03
DLTH,Duluth Holdings,NASDAQ,2024-01-31,A,2024-03-22,10-K,2.0,-3.609,-0.28
GEF,Greif,NYSE,2024-01-31,Q,2024-02-29,10-Q,7.0,109.9,1.4
KIRK,Kirkland's,NASDAQ,2024-01-31,Q,2024-03-29,10-Q,3.0,34.0,0.8
GES,Guess,NYSE,2024-01-31,Q,2024-04-01,10-Q,2.0,-47.707,1.9
GES,Guess,NYSE,2024-01-31,A,2024-04-01,10-K,2.0,-47.707,3.09
SGMA,SigmaTron International,NASDAQ,2024-01-31,Q,2024-03-11,10-Q,10.0,-0.7573,0.1
AVAV,AeroVironment,NASDAQ,2024-01-31,Q,2024-03-05,10-Q,11.0,-95.0,0.5
