index,ticker,per_end_date,per_type,shares_out
78001,ARTW,2024-02-29,Q,5.07
856726,SCHL,2024-02-29,Q,28.6
970726,TMQ,2024-02-29,Q,159.75
837001,RPM,2024-02-29,Q,128.76
65776,APLD,2024-02-29,Q,122.04
256801,CUK,2024-02-29,Q,187.68
67051,APOG,2024-02-29,Q,22.08
968026,TLRY,2024-02-29,Q,774.03
312751,EDUC,2024-02-29,Q,8.57
530026,JCTC,2024-02-29,Q,3.5
530401,JEF,2024-02-29,Q,212.04
1008526,UNF,2024-02-29,Q,18.66
231676,COST,2024-02-29,Q,443.5
152401,BSET,2024-02-29,Q,8.81
654151,MU,2024-02-29,Q,1107.37
540451,KBH,2024-02-29,Q,75.92
452326,HELE,2024-02-29,Q,23.75
795901,PVSP,2024-02-29,Q,5429.23
1014301,USGO,2024-02-29,Q,12.4
801151,QEPC,2024-02-29,Q,3.42
815776,RDUS,2024-02-29,Q,27.98
594826,LW,2024-02-29,Q,144.39
818026,RELL,2024-02-29,Q,14.28
989326,TSRI,2024-02-29,Q,2.14
927376,STZ,2024-02-29,Q,182.91
927451,STZ.B,2024-02-29,Q,184.48
467251,HOVR,2024-02-29,Q,18.22
293851,DRI,2024-02-29,Q,119.36
648451,MSM,2024-02-29,Q,56.3
1068451,WS,2024-02-29,Q,50.24
413401,GIFT,2024-02-29,Q,25.4
414376,GIS,2024-02-29,Q,567.9
361426,FDX,2024-02-29,Q,246.08
394426,FUL,2024-02-29,Q,54.49
700726,NVOS,2024-02-29,Q,17.75
356926,FC,2024-02-29,Q,13.29
9226,ACCD,2024-02-29,Q,77.41
171751,CAWW,2024-02-29,Q,
1049326,WBA,2024-02-29,Q,862.71
726751,ORCL,2024-02-29,Q,2748.5
1052476,WDFC,2024-02-29,Q,13.56
746851,PCYO,2024-02-29,Q,24.08
200101,CHSCP,2024-02-29,Q,
22201,AEHR,2024-02-29,Q,28.85
696001,NTRP,2024-02-29,Q,0.94
1056601,WGO,2024-02-29,Q,29.27
16201,ADBE,2024-02-29,Q,448.0
178801,CCL,2024-02-29,Q,1122.32
11026,ACI,2024-02-29,Q,576.04
738226,PAPL,2024-02-29,Q,7.18
750526,PENG,2024-02-29,Q,51.83
694276,NTIC,2024-02-29,Q,9.43
402301,GBX,2024-02-29,Q,31.09
762226,PIXY,2024-02-29,Q,0.36
361726,FEDU,2024-02-29,Q,2.12
12601,ACN,2024-02-29,Q,670.74
1065376,WOR,2024-02-29,Q,49.99
688951,NRIX,2024-02-29,Q,49.15
740101,PAYX,2024-02-29,Q,359.96
258001,CUZ,2024-03-31,Q,152.07
606151,MBUU,2024-03-31,Q,20.44
606451,MBWM,2024-03-31,Q,16.12
604351,MBCN,2024-03-31,Q,8.07
604276,MBC,2024-03-31,Q,127.15
605101,MBIN,2024-03-31,Q,43.35
605251,MBLY,2024-03-31,Q,806.23
605476,MBOT,2024-03-31,Q,14.4
257551,CURI,2024-03-31,Q,53.31
604951,MBI,2024-03-31,Q,51.28
714301,OHI,2024-03-31,Q,246.93
605776,MBRX,2024-03-31,Q,2.23
257926,CUTR,2024-03-31,Q,19.94
605176,MBIO,2024-03-31,Q,10.39
255676,CTV,2024-03-31,Q,140.14
609076,MCOM,2024-03-31,Q,45.19
608926,MCO,2024-03-31,Q,182.6
713101,OFIX,2024-03-31,Q,37.41
255826,CTVA,2024-03-31,Q,696.98
608626,MCK,2024-03-31,Q,131.41
608401,MCHX,2024-03-31,Q,43.66
256051,CTXR,2024-03-31,Q,159.1
608326,MCHP,2024-03-31,Q,540.4
255151,CTSH,2024-03-31,Q,497.2
255301,CTSO,2024-03-31,Q,54.31
609826,MCS,2024-03-31,Q,32.15
609451,MCRI,2024-03-31,Q,18.83
609376,MCRB,2024-03-31,Q,151.01
256651,CUE,2024-03-31,Q,48.64
607276,MCBS,2024-03-31,Q,25.21
256726,CUEN,2024-03-31,Q,2.73
200776,CHTR,2024-03-31,Q,144.03
713776,OGN,2024-03-31,Q,257.17
606976,MCBC,2024-03-31,Q,34.36
606901,MCB,2024-03-31,Q,11.19
256876,CULL,2024-03-31,Q,7.27
713851,OGS,2024-03-31,Q,56.57
606601,MC,2024-03-31,Q,74.79
713176,OFLX,2024-03-31,Q,10.09
713251,OFS,2024-03-31,Q,13.4
608101,MCFT,2024-03-31,Q,17.03
256276,CUB,2024-03-31,Q,
607876,MCEM,2024-03-31,Q,3.69
256426,CUBE,2024-03-31,Q,224.97
713476,OGE,2024-03-31,Q,200.55
256501,CUBI,2024-03-31,Q,31.49
713551,OGEN,2024-03-31,Q,4.48
716101,OLB,2024-03-31,Q,1.81
599176,MAIA,2024-03-31,Q,20.58
716401,OLED,2024-03-31,Q,47.44
261301,CVU,2024-03-31,Q,12.86
260926,CVS,2024-03-31,Q,1255.37
599401,MAIN,2024-03-31,Q,84.98
260851,CVRX,2024-03-31,Q,21.59
600376,MANH,2024-03-31,Q,61.57
199651,CHRS,2024-03-31,Q,113.5
600076,MAN,2024-03-31,Q,48.38
260626,CVR,2024-03-31,Q,0.97
599926,MAMO,2024-03-31,Q,41.3
199576,CHRO,2024-03-31,Q,5.88
261376,CVV,2024-03-31,Q,6.82
716851,OLMA,2024-03-31,Q,55.93
716926,OLN,2024-03-31,Q,119.42
717001,OLO,2024-03-31,Q,161.84
717076,OLP,2024-03-31,Q,21.25
717151,OLPX,2024-03-31,Q,661.76
597226,LZ,2024-03-31,Q,188.88
262126,CWCO,2024-03-31,Q,15.83
597151,LYV,2024-03-31,Q,229.74
597076,LYTS,2024-03-31,Q,29.13
262201,CWD,2024-03-31,Q,21.73
717226,OM,2024-03-31,Q,51.7
261826,CWBC,2024-03-31,Q,11.83
598276,MACK,2024-03-31,Q,14.53
261526,CVX,2024-03-31,Q,1847.01
598201,MACI,2024-03-31,Q,
261676,CWAN,2024-03-31,Q,245.72
199276,CHRD,2024-03-31,Q,41.54
597901,MAC,2024-03-31,Q,215.72
597826,MAA,2024-03-31,Q,116.83
597751,MA,2024-03-31,Q,929.61
261601,CW,2024-03-31,Q,38.28
258901,CVEO,2024-03-31,Q,14.62
715126,OIS,2024-03-31,Q,64.21
602926,MAX,2024-03-31,Q,65.8
259126,CVGI,2024-03-31,Q,33.88
602701,MATX,2024-03-31,Q,34.17
602626,MATW,2024-03-31,Q,30.71
714901,OII,2024-03-31,Q,101.39
201226,CHUC,2024-03-31,Q,229.35
604051,MBAV,2024-03-31,Q,
258376,CVBF,2024-03-31,Q,139.68
714601,OI,2024-03-31,Q,155.72
258676,CVCO,2024-03-31,Q,8.35
259801,CVLG,2024-03-31,Q,13.07
601276,MARPS,2024-03-31,Q,2.0
601201,MARK,2024-03-31,Q,44.44
601126,MARA,2024-03-31,Q,272.92
601051,MAR,2024-03-31,Q,285.62
600976,MAQC,2024-03-31,Q,6.18
260101,CVM,2024-03-31,Q,53.98
600751,MAPS,2024-03-31,Q,150.54
260176,CVNA,2024-03-31,Q,202.57
715876,OKUR,2024-03-31,Q,3.34
260026,CVLY,2024-03-31,Q,9.66
602476,MATV,2024-03-31,Q,54.3
715426,OKE,2024-03-31,Q,583.65
715501,OKLO,2024-03-31,Q,13.95
199876,CHRW,2024-03-31,Q,116.99
259726,CVKD,2024-03-31,Q,1.07
602026,MAT,2024-03-31,Q,344.1
601951,MASS,2024-03-31,Q,32.98
601876,MASI,2024-03-31,Q,53.09
259651,CVII,2024-03-31,Q,91.56
610201,MCVT,2024-03-31,Q,6.39
621001,MG,2024-03-31,Q,30.64
249451,CSPI,2024-03-31,Q,9.71
709651,OCAX,2024-03-31,Q,6.74
249676,CSR,2024-03-31,Q,14.91
621151,MGAM,2024-03-31,Q,21.24
249001,CSLR,2024-03-31,Q,49.1
621376,MGEE,2024-03-31,Q,36.18
622051,MGM,2024-03-31,Q,313.68
619126,MFA,2024-03-31,Q,102.08
250501,CSTL,2024-03-31,Q,27.61
618751,METC,2024-03-31,Q,53.09
618676,META,2024-03-31,Q,2536.53
618601,MET,2024-03-31,Q,713.12
618526,MESO,2024-03-31,Q,114.18
620176,MFIN,2024-03-31,Q,23.38
250276,CSTAF,2024-03-31,Q,12.24
620101,MFIC,2024-03-31,Q,65.25
710101,OCFC,2024-03-31,Q,58.71
710326,OCGN,2024-03-31,Q,257.33
250051,CSSEQ,2024-03-31,Q,32.39
202651,CIFR,2024-03-31,Q,296.49
248776,CSL,2024-03-31,Q,47.6
203176,CIM,2024-03-31,Q,80.5
203626,CING,2024-03-31,Q,0.5
624301,MHO,2024-03-31,Q,27.75
624151,MHLD,2024-03-31,Q,100.47
708526,OBDC,2024-03-31,Q,389.73
624001,MHK,2024-03-31,Q,63.86
623926,MHH,2024-03-31,Q,11.63
625276,MIDD,2024-03-31,Q,53.6
708151,OB,2024-03-31,Q,49.09
203851,CIO,2024-03-31,Q,40.15
708601,OBDE,2024-03-31,Q,123.13
622951,MGRX,2024-03-31,Q,1.64
622801,MGRM,2024-03-31,Q,31.63
622726,MGRC,2024-03-31,Q,24.55
622651,MGPI,2024-03-31,Q,22.01
622426,MGOL,2024-03-31,Q,1.64
622351,MGNX,2024-03-31,Q,62.56
622276,MGNI,2024-03-31,Q,140.02
709276,OC,2024-03-31,Q,86.66
708976,OBLG,2024-03-31,Q,0.51
247951,CSGP,2024-03-31,Q,408.34
203551,CINF,2024-03-31,Q,156.56
248026,CSGS,2024-03-31,Q,29.36
623476,MGYR,2024-03-31,Q,6.65
623401,MGY,2024-03-31,Q,203.32
623251,MGX,2024-03-31,Q,37.47
