index,ticker,per_end_date,per_type,mkt_val
791551,PTMN,2024-03-31,Q,176.74
303976,DYN,2024-03-31,Q,2446.58
791401,PTLO,2024-03-31,Q,1034.79
791176,PTIX,2024-03-31,Q,7.76
304351,DYNT,2024-03-31,Q,2.18
305026,EA,2024-03-31,Q,35469.39
790576,PTEN,2024-03-31,Q,4814.83
306376,EAT,2024-03-31,Q,2210.29
304801,DZSI,2024-03-31,Q,41.13
790801,PTGX,2024-03-31,Q,1696.55
783976,PRTH,2024-03-31,Q,247.84
777451,PR,2024-03-31,Q,13595.9
777301,PPYA,2024-03-31,Q,89.23
318226,EIX,2024-03-31,Q,27213.58
318451,EKDKQ,2024-03-31,Q,
777001,PPTA,2024-03-31,Q,267.7
318526,EKSO,2024-03-31,Q,24.72
776926,PPSI,2024-03-31,Q,56.7
318676,EL,2024-03-31,Q,55272.63
318751,ELA,2024-03-31,Q,121.74
318826,ELAB,2024-03-31,Q,12.04
318976,ELAN,2024-03-31,Q,8043.9
777526,PRA,2024-03-31,Q,655.47
777601,PRAA,2024-03-31,Q,1026.3
778651,PRDO,2024-03-31,Q,1151.98
316876,EGY,2024-03-31,Q,727.25
317026,EHAB,2024-03-31,Q,584.32
778351,PRCT,2024-03-31,Q,2541.38
317401,EHTH,2024-03-31,Q,175.6
778051,PRCH,2024-03-31,Q,421.95
777826,PRAX,2024-03-31,Q,1043.92
317701,EIG,2024-03-31,Q,1150.34
776251,PPL,2024-03-31,Q,20310.01
774826,POST,2024-03-31,Q,6439.07
774526,POSC,2024-03-31,Q,31.89
774151,POR,2024-03-31,Q,4327.31
321376,ELS,2024-03-31,Q,12010.33
321451,ELSE,2024-03-31,Q,14.3
773926,POOL,2024-03-31,Q,15465.66
774301,PORT,2024-03-31,Q,74.66
776176,PPIH,2024-03-31,Q,63.33
319351,ELDN,2024-03-31,Q,51.12
319501,ELEV,2024-03-31,Q,280.29
319651,ELF,2024-03-31,Q,10881.02
775051,POWI,2024-03-31,Q,4069.55
775126,POWL,2024-03-31,Q,1705.87
775351,PPBI,2024-03-31,Q,2314.36
320101,ELMD,2024-03-31,Q,138.97
775501,PPC,2024-03-31,Q,8131.64
320176,ELME,2024-03-31,Q,1225.02
312901,EE,2024-03-31,Q,1736.37
782551,PRPL,2024-03-31,Q,187.37
782476,PRPH,2024-03-31,Q,116.75
782251,PROV,2024-03-31,Q,92.68
313351,EEFT,2024-03-31,Q,5041.31
313801,EEX,2024-03-31,Q,429.39
781501,PRO,2024-03-31,Q,1706.36
782026,PROK,2024-03-31,Q,376.12
314026,EFC,2024-03-31,Q,1004.52
312751,EDUC,2024-03-31,Q,17.74
783751,PRTA,2024-03-31,Q,1330.66
783676,PRT,2024-03-31,Q,50.85
311926,EDR,2024-03-31,Q,17839.26
783451,PRST,2024-03-31,Q,16.56
782701,PRPO,2024-03-31,Q,9.85
312226,EDSA,2024-03-31,Q,13.48
783226,PRSO,2024-03-31,Q,3.86
780001,PRI,2024-03-31,Q,8776.85
779851,PRGS,2024-03-31,Q,2339.25
779776,PRGO,2024-03-31,Q,4362.26
779551,PRG,2024-03-31,Q,1486.93
315451,EGHT,2024-03-31,Q,333.24
779401,PRFT,2024-03-31,Q,1978.95
780076,PRIM,2024-03-31,Q,2282.55
781276,PRMW,2024-03-31,Q,2908.26
781126,PRME,2024-03-31,Q,840.2
314401,EFOI,2024-03-31,Q,7.06
314476,EFSC,2024-03-31,Q,1520.66
780976,PRM,2024-03-31,Q,1166.88
314551,EFSH,2024-03-31,Q,10.74
314626,EFTR,2024-03-31,Q,56.15
315151,EGBN,2024-03-31,Q,703.03
780376,PRKR,2024-03-31,Q,14.49
316651,EGP,2024-03-31,Q,8654.9
315001,EGAN,2024-03-31,Q,201.26
780526,PRLB,2024-03-31,Q,913.78
314926,EG,2024-03-31,Q,17274.65
780601,PRLD,2024-03-31,Q,260.33
780451,PRKS,2024-03-31,Q,3553.75
342377,ETD,2024-03-31,Q,878.49
369451,FIS,2024-03-31,Q,41653.01
369526,FISI,2024-03-31,Q,290.71
725776,ORA,2024-03-31,Q,3997.88
369751,FITB,2024-03-31,Q,25340.63
725626,OPY,2024-03-31,Q,412.33
726151,ORBT,2024-03-31,Q,19.45
369901,FIVE,2024-03-31,Q,10018.55
370051,FIVN,2024-03-31,Q,4587.94
725401,OPTX,2024-03-31,Q,139.41
370126,FIX,2024-03-31,Q,11349.21
370201,FIZZ,2024-03-31,Q,4439.47
725251,OPTT,2024-03-31,Q,15.76
727351,ORI,2024-03-31,Q,8350.71
368251,FIGS,2024-03-31,Q,847.03
727201,ORGS,2024-03-31,Q,28.24
727126,ORGO,2024-03-31,Q,374.77
726976,ORGN,2024-03-31,Q,74.72
726676,ORCL,2024-03-31,Q,345239.09
369001,FINW,2024-03-31,Q,128.57
369151,FIP,2024-03-31,Q,638.64
726301,ORC,2024-03-31,Q,473.06
