ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
CHPT,2024-01-31,A,-74.8485,0.8658
CHPT,2024-01-31,Q,-15.4972,0.8658
DE,2024-01-31,Q,2.8188,2.8609
ZUO,2024-01-31,A,-13.8263,2.6893
ZUO,2024-01-31,Q,-4.2241,2.6893
DDS,2024-01-31,Q,11.2914,0.3073
DDS,2024-01-31,A,33.3035,0.3073
A,2024-01-31,Q,3.9803,0.4129
LOW,2024-01-31,A,37.9955,-2.3868
BOX,2024-01-31,Q,-164.7327,-0.8603
BOX,2024-01-31,A,-214.1965,-0.8603
OOMA,2024-01-31,A,-0.8875,0.2049
OOMA,2024-01-31,Q,-3.2576,0.2049
ASAN,2024-01-31,A,-69.4649,0.1336
DCI,2024-01-31,Q,5.7125,0.4464
CSCO,2024-01-31,Q,4.9773,0.2509
YYAI,2024-01-31,Q,-71.3174,1.4147
LMNR,2024-01-31,Q,-1.4922,0.2671
CIEN,2024-01-31,Q,1.1093,0.5318
SNPS,2024-01-31,Q,6.6672,0.0025
INTU,2024-01-31,Q,1.5443,0.3519
DELL,2024-01-31,Q,6.9329,-11.2577
DELL,2024-01-31,A,19.1283,-11.2577
LOW,2024-01-31,Q,5.0162,-2.3868
GAP,2024-01-31,A,12.2949,0.5734
MRVL,2024-01-31,A,-4.9412,0.2809
WLY,2024-01-31,Q,-6.9064,1.2118
WLYB,2024-01-31,Q,-6.9064,1.2118
BF.B,2024-01-31,Q,4.8118,1.0496
MSS,2024-01-31,Q,-3.3165,0.1843
ADI,2024-01-31,Q,1.1151,0.1966
BRRE,2024-01-31,Q,-1.2728,0.0005
GEF.B,2024-01-31,Q,1.748,1.1412
GEF,2024-01-31,Q,1.748,1.1412
OCC,2024-01-31,Q,-4.2645,0.4338
WMT,2024-01-31,A,12.308,0.519
WMT,2024-01-31,Q,4.2953,0.519
CRM,2024-01-31,A,6.0758,0.158
CRM,2024-01-31,Q,2.1242,0.158
WOOF,2024-01-31,A,-46.3735,1.3443
WOOF,2024-01-31,Q,-0.8177,1.3443
IHT,2024-01-31,A,2.3742,3.6614
GAP,2024-01-31,Q,4.531,0.5734
STRM,2024-01-31,Q,-4.9139,0.5616
STRM,2024-01-31,A,-67.0624,0.5616
CDMO,2024-01-31,Q,-3.2007,0.8264
ADSK,2024-01-31,Q,6.8132,1.2313
ADSK,2024-01-31,A,21.8894,1.2313
DKS,2024-01-31,Q,7.2291,0.5667
DKS,2024-01-31,A,25.5215,0.5667
DAKT,2024-01-31,Q,3.5045,0.3038
LE,2024-01-31,A,-27.3533,1.0314
LE,2024-01-31,Q,-1.8042,1.0314
RH,2024-01-31,A,4.7672,-10.1381
GES,2024-01-31,Q,10.925,0.6175
GES,2024-01-31,A,19.161,0.6175
TOL,2024-01-31,Q,2.4546,0.3871
RH,2024-01-31,Q,0.4253,-10.1381
IHT,2024-01-31,Q,-3.0368,3.6614
CRMT,2024-01-31,Q,-1.8213,1.5779
BJ,2024-01-31,A,28.1945,0.4918
ASO,2024-01-31,Q,6.8943,0.2494
ASO,2024-01-31,A,21.2853,0.2494
FGPRQ,2024-01-31,Q,15.7321,-1.7305
SMAR,2024-01-31,Q,-1.4804,0.0011
PD,2024-01-31,Q,-4.6507,2.6109
PDCO,2024-01-31,Q,3.3507,0.8058
PD,2024-01-31,A,-12.486,2.6109
GCO,2024-01-31,A,-3.8998,0.0607
SMAR,2024-01-31,A,-17.257,0.0011
BRID,2024-01-31,Q,0.9259,0.028
ODC,2024-01-31,Q,5.4573,0.1625
GCO,2024-01-31,Q,3.3488,0.0607
MRVL,2024-01-31,Q,-2.0789,0.2809
BF.A,2024-01-31,Q,4.8118,1.0496
CTAS,2024-02-29,Q,5.9261,0.5845
EACO,2024-02-29,Q,4.5756,0.038
MU,2024-02-29,Q,1.3852,0.3128
ARTW,2024-02-29,Q,-2.9245,0.7631
EDUC,2024-02-29,A,0.7579,0.7467
RMCF,2024-02-29,A,-45.841,0.1175
PVSP,2024-02-29,Q,15.4471,-0.7878
EDUC,2024-02-29,Q,-2.2397,0.7467
JBL,2024-02-29,Q,16.7449,1.0828
DTTLY,2024-02-29,A,8.3741,1.09
RMCF,2024-02-29,Q,-14.9774,0.1175
APOG,2024-02-29,A,18.6882,0.1316
APOG,2024-02-29,Q,2.9522,0.1316
SCHL,2024-02-29,Q,-2.6564,0.0316
MKC.V,2024-02-29,Q,1.6852,0.8478
JEF,2024-02-29,Q,0.7303,2.582
RPM,2024-02-29,Q,1.3555,0.9341
SAR,2024-02-29,A,2.2047,1.5808
COST,2024-02-29,Q,6.5465,0.3345
NEOG,2024-02-29,Q,-0.0501,0.2829
MLKN,2024-02-29,Q,0.8615,0.9572
KBH,2024-02-29,Q,3.5714,0.436
MSM,2024-02-29,Q,3.6258,0.3935
QEPC,2024-02-29,Q,5.5211,0.0093
QEPC,2024-02-29,A,12.5719,0.0093
TLRY,2024-02-29,Q,-2.8309,0.1441
APLD,2024-02-29,Q,-27.9593,1.7894
CUK,2024-02-29,Q,-0.6075,4.6003
SCS,2024-02-29,A,6.0822,0.5031
MKC,2024-02-29,Q,1.6852,0.8478
RDUS,2024-02-29,Q,-2.7953,0.4408
SCS,2024-02-29,Q,1.5974,0.5031
NG,2024-02-29,Q,-8.3057,-8.7079
SAR,2024-02-29,Q,1.3096,2.1589
CNXC,2024-02-29,Q,0.5703,1.228
STZ,2024-02-29,Q,1.9493,1.1803
BHOOY,2024-02-29,A,-22.7882,1.162
NVOS,2024-02-29,Q,-12.5058,0.1302
CCL,2024-02-29,Q,-0.6075,4.6003
AIR,2024-02-29,Q,0.9704,0.2352
PAYX,2024-02-29,Q,10.9689,0.2181
LFCR,2024-02-29,Q,7.4415,2.3559
WOR,2024-02-29,Q,1.815,0.3258
LEVI,2024-02-29,Q,-0.3555,0.5091
ADBE,2024-02-29,Q,3.5231,0.2351
PCYO,2024-02-29,Q,0.0927,0.0573
PRGS,2024-02-29,Q,1.9635,1.4971
PAPL,2024-02-29,Q,-17.1015,0.5372
LEN.B,2024-02-29,Q,2.4315,0.1057
PENG,2024-02-29,Q,-1.1289,1.7999
AXIL,2024-02-29,Q,8.7461,0.0229
FUL,2024-02-29,Q,0.862,1.0354
AYI,2024-02-29,Q,3.3718,0.2307
BB,2024-02-29,A,-13.4021,0.25
BB,2024-02-29,Q,-5.7732,0.5
ACI,2024-02-29,Q,2.3787,2.9367
ACI,2024-02-29,A,12.3066,2.9367
NTIC,2024-02-29,Q,2.5971,0.0553
SMPL,2024-02-29,Q,1.7571,0.1443
FC,2024-02-29,Q,1.1666,0.1574
VOXX,2024-02-29,Q,-6.7374,0.2859
VOXX,2024-02-29,A,-13.9035,0.2859
GBX,2024-02-29,Q,1.1682,1.1843
CCEL,2024-02-29,Q,-28.5798,-1.0189
WS,2024-02-29,Q,4.8958,0.1375
ACCD,2024-02-29,Q,-1.148,0.468
ACCD,2024-02-29,A,-15.2619,0.468
GLGI,2024-02-29,Q,0.8829,0.6349
AZZ,2024-02-29,Q,0.9465,1.0195
CMC,2024-02-29,Q,1.6049,0.2751
ORCL,2024-02-29,Q,2.7083,14.2316
PSMT,2024-02-29,Q,3.2829,0.1335
AZZ,2024-02-29,A,5.3839,1.0195
KMX,2024-02-29,A,1.9939,3.0882
FDX,2024-02-29,Q,1.8904,0.7655
CAG,2024-02-29,Q,1.8472,0.9406
LW,2024-02-29,Q,2.9615,2.1912
HELE,2024-02-29,A,7.3402,0.4065
