ticker,per_end_date,per_type,mkt_val
OGS,2024-03-31,Q,3650.42
FOXF,2024-03-31,Q,2166.93
OII,2024-03-31,Q,2372.51
FOXO,2024-03-31,Q,3.64
OI,2024-03-31,Q,2583.42
FPI,2024-03-31,Q,534.52
FPH,2024-03-31,Q,464.15
FPAY,2024-03-31,Q,32.41
ONL,2024-03-31,Q,196.01
ONIT,2024-03-31,Q,209.73
ONFO,2024-03-31,Q,2.45
FMNB,2024-03-31,Q,501.61
ONEW,2024-03-31,Q,451.05
ONDS,2024-03-31,Q,63.65
OOMA,2024-03-31,Q,225.37
FLYX,2024-03-31,Q,336.19
FMAO,2024-03-31,Q,304.58
FMBH,2024-03-31,Q,780.71
FMC,2024-03-31,Q,7950.88
ONTF,2024-03-31,Q,298.63
OMIC,2024-03-31,Q,38.1
OMI,2024-03-31,Q,2119.79
FNKO,2024-03-31,Q,332.21
FNLC,2024-03-31,Q,274.25
OMGA,2024-03-31,Q,201.32
OMF,2024-03-31,Q,6121.03
OMEX,2024-03-31,Q,76.68
OMER,2024-03-31,Q,199.91
FN,2024-03-31,Q,6832.17
FNA,2024-03-31,Q,1023.89
ONCO,2024-03-31,Q,3.44
ONB,2024-03-31,Q,5107.8
ON,2024-03-31,Q,31643.56
FNF,2024-03-31,Q,14508.95
FND,2024-03-31,Q,13870.88
OUT,2024-03-31,Q,2785.14
PD,2024-03-31,Q,2167.93
EXE,2024-03-31,Q,11641.04
PCYO,2024-03-31,Q,228.84
EXFY,2024-03-31,Q,159.13
EXLS,2024-03-31,Q,5165.53
PCT,2024-03-31,Q,1022.84
EXP,2024-03-31,Q,9361.79
EXPE,2024-03-31,Q,18773.74
EXC,2024-03-31,Q,37570.95
EVTV,2024-03-31,Q,41.91
PDM,2024-03-31,Q,870.96
EW,2024-03-31,Q,57584.45
PDLB,2024-03-31,Q,211.92
EWCZ,2024-03-31,Q,789.54
PDEX,2024-03-31,Q,61.8
PDCO,2024-03-31,Q,2477.22
EXAS,2024-03-31,Q,12696.69
EZPW,2024-03-31,Q,622.5
