ticker,per_end_date,per_type,shares_out
GCBC,2024-03-31,Q,17.03
FWRD,2024-03-31,Q,26.37
FWRG,2024-03-31,Q,60.37
SMP,2024-03-31,Q,21.82
FUSB,2024-03-31,Q,5.79
HIW,2024-03-31,Q,106.0
FVCB,2024-03-31,Q,17.88
GAHC,2024-03-31,Q,1479.88
GAIA,2024-03-31,Q,23.16
GALT,2024-03-31,Q,61.9
GAME,2024-03-31,Q,30.32
GAMI,2024-03-31,Q,24.78
GAN,2024-03-31,Q,45.11
GANX,2024-03-31,Q,18.05
FYBR,2024-03-31,Q,248.55
G,2024-03-31,Q,180.33
GABC,2024-03-31,Q,29.58
SMG,2024-03-31,Q,56.69
SMHI,2024-03-31,Q,27.6
FNF,2024-03-31,Q,273.24
SON,2024-03-31,Q,98.26
SCCO,2024-03-31,Q,781.16
HPK,2024-03-31,Q,127.86
FNKO,2024-03-31,Q,53.24
SOLV,2024-03-31,Q,172.71
FND,2024-03-31,Q,107.01
SONXD,2024-03-31,Q,0.35
FN,2024-03-31,Q,36.15
FNA,2024-03-31,Q,82.91
FNLC,2024-03-31,Q,11.13
HPP,2024-03-31,Q,141.15
HP,2024-03-31,Q,98.72
HOWL,2024-03-31,Q,43.46
HOUS,2024-03-31,Q,111.08
FOLD,2024-03-31,Q,296.2
SOFI,2024-03-31,Q,1056.49
FONR,2024-03-31,Q,6.33
FOA,2024-03-31,Q,9.66
SOL,2024-03-31,Q,60.22
SOHO,2024-03-31,Q,19.85
FNWB,2024-03-31,Q,9.44
SBSI,2024-03-31,Q,30.28
SBT,2024-03-31,Q,52.05
HRI,2024-03-31,Q,28.37
FLWS,2024-03-31,Q,64.33
HRGN,2024-03-31,Q,14.31
FLXS,2024-03-31,Q,5.15
FLS,2024-03-31,Q,131.65
HRMY,2024-03-31,Q,56.79
FLL,2024-03-31,Q,34.59
SPCE,2024-03-31,Q,20.26
HRTX,2024-03-31,Q,150.64
FLNT,2024-03-31,Q,13.66
SBRA,2024-03-31,Q,231.5
FLO,2024-03-31,Q,211.13
HRTG,2024-03-31,Q,30.64
SPB,2024-03-31,Q,30.27
HROW,2024-03-31,Q,35.38
FLR,2024-03-31,Q,170.17
SBSAA,2024-03-31,Q,8.55
SOWG,2024-03-31,Q,9.96
HQI,2024-03-31,Q,14.0
FMNB,2024-03-31,Q,37.55
HRB,2024-03-31,Q,139.52
FLYX,2024-03-31,Q,77.82
SOUN,2024-03-31,Q,321.56
FMAO,2024-03-31,Q,13.66
FMBH,2024-03-31,Q,23.89
FMC,2024-03-31,Q,124.82
HR,2024-03-31,Q,381.5
FRME,2024-03-31,Q,58.58
HMST,2024-03-31,Q,18.86
SCOR,2024-03-31,Q,4.82
HNI,2024-03-31,Q,47.3
FRHC,2024-03-31,Q,55.31
SCPH,2024-03-31,Q,36.05
FRZA,2024-03-31,Q,15.76
SCPX,2024-03-31,Q,0.18
SNFCA,2024-03-31,Q,24.17
SNEX,2024-03-31,Q,31.55
SNES,2024-03-31,Q,0.51
FSBC,2024-03-31,Q,17.35
SNDX,2024-03-31,Q,84.96
FSBW,2024-03-31,Q,7.81
FRPT,2024-03-31,Q,48.43
HMN,2024-03-31,Q,40.94
FRST,2024-03-31,Q,24.68
FRT,2024-03-31,Q,82.95
HNNA,2024-03-31,Q,7.68
HONE,2024-03-31,Q,45.17
FOXO,2024-03-31,Q,8.95
HON,2024-03-31,Q,651.19
HOLX,2024-03-31,Q,233.38
FPAY,2024-03-31,Q,21.75
HOOD,2024-03-31,Q,878.36
FOXF,2024-03-31,Q,41.62
SOC,2024-03-31,Q,64.74
FORR,2024-03-31,Q,19.11
FOSL,2024-03-31,Q,52.93
SOAR,2024-03-31,Q,29.25
FOUR,2024-03-31,Q,86.34
FOX,2024-03-31,Q,468.14
FOXA,2024-03-31,Q,468.14
FRBA,2024-03-31,Q,19.57
HNVR,2024-03-31,Q,7.23
HNST,2024-03-31,Q,97.03
HNRG,2024-03-31,Q,36.53
FRD,2024-03-31,Q,6.98
SNSE,2024-03-31,Q,25.08
FPH,2024-03-31,Q,148.29
FPI,2024-03-31,Q,48.15
SCLX,2024-03-31,Q,166.19
FRAF,2024-03-31,Q,4.39
HOFV,2024-03-31,Q,6.5
FR,2024-03-31,Q,132.34
SCM,2024-03-31,Q,24.13
GD,2024-03-31,Q,274.36
GOOG,2024-03-31,Q,12358.0
GOOGL,2024-03-31,Q,12358.0
GORV,2024-03-31,Q,14.06
GOSS,2024-03-31,Q,226.22
GOOD,2024-03-31,Q,40.31
HAE,2024-03-31,Q,50.79
GO,2024-03-31,Q,100.09
GOCO,2024-03-31,Q,22.68
GOEV,2024-03-31,Q,66.41
GOGO,2024-03-31,Q,128.07
GOLF,2024-03-31,Q,63.32
HAIN,2024-03-31,Q,89.83
SHO,2024-03-31,Q,203.69
GXO,2024-03-31,Q,119.42
GPRO,2024-03-31,Q,149.9
SHLS,2024-03-31,Q,170.42
H,2024-03-31,Q,101.17
GPC,2024-03-31,Q,139.3
SFM,2024-03-31,Q,100.48
GPK,2024-03-31,Q,307.29
GPMT,2024-03-31,Q,50.79
GPOR,2024-03-31,Q,18.12
SF,2024-03-31,Q,102.65
SIF,2024-03-31,Q,6.19
HASI,2024-03-31,Q,113.77
SFBC,2024-03-31,Q,2.56
GNK,2024-03-31,Q,42.75
SILA,2024-03-31,Q,57.22
HAYW,2024-03-31,Q,214.72
GMRE,2024-03-31,Q,65.57
HAYN,2024-03-31,Q,12.78
SIGI,2024-03-31,Q,60.79
SEZL,2024-03-31,Q,5.66
GNW,2024-03-31,Q,437.72
GNL,2024-03-31,Q,230.85
HALO,2024-03-31,Q,127.05
SHYF,2024-03-31,Q,34.37
HAL,2024-03-31,Q,885.3
GNTY,2024-03-31,Q,11.53
SHW,2024-03-31,Q,253.55
SIBN,2024-03-31,Q,41.2
SIEB,2024-03-31,Q,39.58
SIDU,2024-03-31,Q,4.18
SFBS,2024-03-31,Q,54.51
GPUS,2024-03-31,Q,30.07
SGBX,2024-03-31,Q,1.1
SGRP,2024-03-31,Q,24.22
SGC,2024-03-31,Q,16.75
GTX,2024-03-31,Q,225.99
SGRY,2024-03-31,Q,127.1
GTY,2024-03-31,Q,53.97
GSBC,2024-03-31,Q,11.66
GSBD,2024-03-31,Q,112.1
SGAPY,2024-03-31,Q,1651.4
GSHD,2024-03-31,Q,37.99
GTES,2024-03-31,Q,261.38
GTHP,2024-03-31,Q,55.76
GTIM,2024-03-31,Q,11.0
GTN.A,2024-03-31,Q,99.19
SGHT,2024-03-31,Q,49.55
GTN,2024-03-31,Q,99.19
GTLS,2024-03-31,Q,42.8
GTEC,2024-03-31,Q,13.6
GTE,2024-03-31,Q,31.33
GT,2024-03-31,Q,283.95
SGLY,2024-03-31,Q,3.45
GSAT,2024-03-31,Q,1883.92
SHFS,2024-03-31,Q,55.43
GREE,2024-03-31,Q,9.79
SHEN,2024-03-31,Q,54.55
SHECY,2024-03-31,Q,4003.38
SFST,2024-03-31,Q,8.16
GWRS,2024-03-31,Q,24.5
GRBK,2024-03-31,Q,44.93
SHIM,2024-03-31,Q,25.68
GRC,2024-03-31,Q,26.21
GRPN,2024-03-31,Q,39.1
GRTSQ,2024-03-31,Q,107.13
GUTS,2024-03-31,Q,47.88
GURE,2024-03-31,Q,10.43
SGU,2024-03-31,Q,35.57
SHBI,2024-03-31,Q,33.21
SHCO,2024-03-31,Q,195.67
GRND,2024-03-31,Q,175.39
GRNQ,2024-03-31,Q,7.52
GRNT,2024-03-31,Q,130.45
SHC,2024-03-31,Q,283.07
GROM,2024-03-31,Q,8.92
GROV,2024-03-31,Q,38.18
GROW,2024-03-31,Q,13.98
SEDG,2024-03-31,Q,57.3
SKY,2024-03-31,Q,57.75
HEES,2024-03-31,Q,36.53
SEE,2024-03-31,Q,145.61
SKWD,2024-03-31,Q,39.99
GEVO,2024-03-31,Q,241.78
SKYH,2024-03-31,Q,66.58
SLAMF,2024-03-31,Q,23.45
GEO,2024-03-31,Q,126.9
SLAB,2024-03-31,Q,31.92
SKYW,2024-03-31,Q,40.26
GERN,2024-03-31,Q,593.13
SKYT,2024-03-31,Q,47.34
GETR,2024-03-31,Q,93.11
GETY,2024-03-31,Q,408.49
GEV,2024-03-31,Q,274.09
SKLZ,2024-03-31,Q,21.45
GH,2024-03-31,Q,121.71
SKT,2024-03-31,Q,109.35
HEAR,2024-03-31,Q,21.52
HE,2024-03-31,Q,110.3
SEEL,2024-03-31,Q,0.13
SLNG,2024-03-31,Q,18.58
HFFG,2024-03-31,Q,52.16
SLND,2024-03-31,Q,48.01
HFBL,2024-03-31,Q,3.14
SLM,2024-03-31,Q,219.72
GE,2024-03-31,Q,1094.61
GDRX,2024-03-31,Q,395.0
SLNH,2024-03-31,Q,3.8
HGBL,2024-03-31,Q,37.34
GDEN,2024-03-31,Q,28.95
GDOT,2024-03-31,Q,53.16
HG,2024-03-31,Q,111.0
HFWA,2024-03-31,Q,34.69
GECC,2024-03-31,Q,9.45
SLDP,2024-03-31,Q,178.35
SLDB,2024-03-31,Q,37.86
SEAT,2024-03-31,Q,218.27
SEB,2024-03-31,Q,0.97
GENK,2024-03-31,Q,32.4
SLB,2024-03-31,Q,1429.34
SKIN,2024-03-31,Q,123.45
GEL,2024-03-31,Q,122.46
HESM,2024-03-31,Q,223.55
GEG,2024-03-31,Q,31.63
SLG,2024-03-31,Q,65.86
GEHC,2024-03-31,Q,456.46
GHC,2024-03-31,Q,4.44
HBT,2024-03-31,Q,31.59
SER,2024-03-31,Q,8.41
SIRI,2024-03-31,Q,384.66
SENS,2024-03-31,Q,530.82
HCC,2024-03-31,Q,52.3
SITC,2024-03-31,Q,52.39
SISI,2024-03-31,Q,6.41
GLP,2024-03-31,Q,33.86
GM,2024-03-31,Q,1140.96
SERV,2024-03-31,Q,36.94
HBCP,2024-03-31,Q,8.15
HBAN,2024-03-31,Q,1448.07
HBI,2024-03-31,Q,351.56
HBIO,2024-03-31,Q,43.4
