ticker,comp_name,exchange,per_end_date,per_type,filing_date,filing_type,zacks_sector_code,lterm_debt_net_tot,eps_diluted_net_basic
MRVL,Marvell Technology,NASDAQ,2024-01-31,Q,2024-03-13,10-Q,16.0,-327.2,-0.45
TJX,The TJX Companies,NYSE,2024-01-31,Q,2024-04-03,10-Q,3.0,2862.0,1.22
TJX,The TJX Companies,NYSE,2024-01-31,A,2024-04-03,10-K,3.0,2862.0,3.86
TITN,Titan Machinery,NASDAQ,2024-01-31,Q,2024-04-03,10-Q,3.0,6.554,1.04
AVAV,AeroVironment,NASDAQ,2024-01-31,Q,2024-03-05,10-Q,11.0,-95.0,0.5
WDAY,Workday,NASDAQ,2024-01-31,A,2024-03-08,10-K,10.0,2980.0,5.21
MAYS,J. W. Mays,NASDAQ,2024-01-31,Q,2024-03-14,10-Q,13.0,-0.6467,-0.04
UNFI,United Natural Foods,NYSE,2024-01-31,Q,2024-03-06,10-Q,1.0,219.0,-0.25
ASAN,Asana,NYSE,2024-01-31,A,2024-03-14,10-K,10.0,-3.125,-1.17
ASAN,Asana,NYSE,2024-01-31,Q,2024-03-14,10-Q,10.0,-3.125,-0.28
MDB,MongoDB,NASDAQ,2024-01-31,A,2024-03-15,10-K,10.0,-5.483,-2.48
MDB,MongoDB,NASDAQ,2024-01-31,Q,2024-03-15,10-Q,10.0,-5.483,-0.77
MDT,Medtronic,NYSE,2024-01-31,Q,2024-02-27,10-Q,4.0,24153.0,0.99
ASO,Academy Sports and Outdoors,NASDAQ,2024-01-31,A,2024-03-21,10-K,2.0,-103.0,6.7
ASO,Academy Sports and Outdoors,NASDAQ,2024-01-31,Q,2024-03-21,10-Q,2.0,-103.0,2.19
MEI,Methode Electronics,NYSE,2024-01-31,Q,2024-03-07,10-Q,10.0,25.5,-0.33
TTC,Toro,NYSE,2024-01-31,Q,2024-03-07,10-Q,2.0,1179.8,0.62
WDAY,Workday,NASDAQ,2024-01-31,Q,2024-03-08,10-Q,10.0,2980.0,4.48
ADSK,Autodesk,NASDAQ,2024-01-31,A,2024-06-10,10-K,10.0,2284.0,4.19
BRC,Brady,NYSE,2024-01-31,Q,2024-02-22,10-Q,7.0,48.09,0.9
CNM,Core & Main,NYSE,2024-01-31,A,2024-03-19,10-K,7.0,415.0,2.15
CNM,Core & Main,NYSE,2024-01-31,Q,2024-03-19,10-Q,7.0,415.0,0.34
DOMO,Domo,NASDAQ,2024-01-31,Q,2024-03-28,10-Q,10.0,113.534,-0.51
DOMO,Domo,NASDAQ,2024-01-31,A,2024-03-28,10-K,10.0,113.534,-2.1
JILL,J.Jill,NYSE,2024-01-31,Q,2024-04-04,10-Q,3.0,-65.042,0.33
JILL,J.Jill,NYSE,2024-01-31,A,2024-04-04,10-K,3.0,-65.042,2.51
YYAI,Connexa Sports Technologies Inc.,NASDAQ,2024-01-31,Q,2024-03-05,10-Q,2.0,1.7278,-285.8
PSTG,Pure Storage,NYSE,2024-01-31,A,2024-04-01,10-K,10.0,-479.309,0.19
PSTG,Pure Storage,NYSE,2024-01-31,Q,2024-04-01,10-Q,10.0,-479.309,0.22
DLTR,Dollar Tree,NASDAQ,2024-01-31,Q,2024-03-20,10-Q,3.0,3426.3,-7.78
DLTR,Dollar Tree,NASDAQ,2024-01-31,A,2024-03-20,10-K,3.0,3426.3,-4.55
DLTH,Duluth Holdings,NASDAQ,2024-01-31,Q,2024-03-22,10-Q,2.0,-3.609,0.22
DLTH,Duluth Holdings,NASDAQ,2024-01-31,A,2024-03-22,10-K,2.0,-3.609,-0.28
ZDGE,Zedge,NYSE MKT (ex. AMEX),2024-01-31,Q,2024-03-15,10-Q,10.0,-2.0,-0.66
CONNQ,Conn's,NASDAQ Other OTC,2024-01-31,A,2024-04-18,10-K,3.0,252.751,-3.17
CONNQ,Conn's,NASDAQ Other OTC,2024-01-31,Q,2024-04-18,10-Q,3.0,252.751,1.8
COO,The Cooper Companies,NASDAQ,2024-01-31,Q,2024-03-01,10-Q,4.0,202.0,0.41
ABM,ABM Industries,NYSE,2024-01-31,Q,2024-03-07,10-Q,16.0,15.9,0.7
DKS,DICK'S Sporting Goods,NYSE,2024-01-31,Q,2024-03-28,10-Q,3.0,-0.96,3.57
CMTL,Comtech Telecommunications,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,10.0,3.881,-1.07
PPIH,"Perma-Pipe International Holdings, Inc.",NASDAQ,2024-01-31,A,2024-04-26,10-K,7.0,-1.844,1.3
PLAB,Photronics,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,10.0,-1.194,0.42
SKIL,Skillsoft,NYSE,2024-01-31,Q,2024-04-15,10-Q,16.0,-6.404,-30.51
SKIL,Skillsoft,NYSE,2024-01-31,A,2024-04-15,10-K,16.0,-6.404,-43.38
PLAY,Dave & Buster's Entertainment,NASDAQ,2024-01-31,A,2024-04-02,10-K,3.0,131.4,2.88
PLAY,Dave & Buster's Entertainment,NASDAQ,2024-01-31,Q,2024-04-02,10-Q,3.0,131.4,0.95
PLCE,The Childrens Place,NASDAQ,2024-01-31,A,2024-05-06,10-K,3.0,49.818,-12.36
PLCE,The Childrens Place,NASDAQ,2024-01-31,Q,2024-05-06,10-Q,3.0,49.818,-10.26
SJM,The J. M. Smucker Co.,NYSE,2024-01-31,Q,2024-02-27,10-Q,1.0,2757.6,1.13
