ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
ETWO,2024-02-29,A,-45.1222,0.6649
GLGI,2024-02-29,Q,0.8829,0.6349
ACI,2024-02-29,Q,2.3787,2.9367
LEVI,2024-02-29,Q,-0.3555,0.5091
ACI,2024-02-29,A,12.3066,2.9367
NKE,2024-02-29,Q,5.0613,0.6281
LFCR,2024-02-29,Q,7.4415,2.3559
EACO,2024-02-29,Q,4.5756,0.038
MKC,2024-02-29,Q,1.6852,0.8478
MU,2024-02-29,Q,1.3852,0.3128
APOG,2024-02-29,A,18.6882,0.1316
AZO,2024-02-29,Q,13.5776,-1.7842
EDUC,2024-02-29,Q,-2.2397,0.7467
RDUS,2024-02-29,Q,-2.7953,0.4408
EDUC,2024-02-29,A,0.7579,0.7467
CAG,2024-02-29,Q,1.8472,0.9406
ORCL,2024-02-29,Q,2.7083,14.2316
APOG,2024-02-29,Q,2.9522,0.1316
CTAS,2024-02-29,Q,5.9261,0.5845
JEF,2024-02-29,Q,0.7303,2.582
VOXX,2024-02-29,Q,-6.7374,0.2859
VOXX,2024-02-29,A,-13.9035,0.2859
EPAC,2024-02-29,Q,3.0981,0.7269
LNN,2024-02-29,Q,3.0301,0.2387
LOOP,2024-02-29,Q,-29.3284,0.2348
JBL,2024-02-29,Q,16.7449,1.0828
LOOP,2024-02-29,A,-121.4549,0.2348
DTTLY,2024-02-29,A,8.3741,1.09
CMC,2024-02-29,Q,1.6049,0.2751
ACCD,2024-02-29,A,-15.2619,0.468
MSM,2024-02-29,Q,3.6258,0.3935
APLD,2024-02-29,Q,-27.9593,1.7894
PRGS,2024-02-29,Q,1.9635,1.4971
PAPL,2024-02-29,Q,-17.1015,0.5372
DRI,2024-02-29,Q,8.819,0.7022
RMCF,2024-02-29,Q,-14.9774,0.1175
TLRY,2024-02-29,Q,-2.8309,0.1441
AXIL,2024-02-29,Q,8.7461,0.0229
RMCF,2024-02-29,A,-45.841,0.1175
CUK,2024-02-29,Q,-0.6075,4.6003
AYI,2024-02-29,Q,3.3718,0.2307
BB,2024-02-29,Q,-5.7732,0.5
BB,2024-02-29,A,-13.4021,0.25
LW,2024-02-29,Q,2.9615,2.1912
LEN,2024-02-29,Q,2.4315,0.1057
RPM,2024-02-29,Q,1.3555,0.9341
HELE,2024-02-29,A,7.3402,0.4065
KBH,2024-02-29,Q,3.5714,0.436
FEDU,2024-02-29,A,0.4907,0.076
HELE,2024-02-29,Q,1.8605,0.4065
WDFC,2024-02-29,Q,5.1414,0.5349
SCHL,2024-02-29,Q,-2.6564,0.0316
QEPC,2024-02-29,A,12.5719,0.0093
QEPC,2024-02-29,Q,5.5211,0.0093
FUL,2024-02-29,Q,0.862,1.0354
NEOG,2024-02-29,Q,-0.0501,0.2829
WBA,2024-02-29,Q,-54.2175,0.6235
SNX,2024-02-29,Q,1.539,0.4948
BHOOY,2024-02-29,A,-22.7882,1.162
NG,2024-02-29,Q,-8.3057,-8.7079
FDS,2024-02-29,Q,4.2823,0.8267
SAR,2024-02-29,Q,1.3096,2.1589
SAR,2024-02-29,A,2.2047,1.5808
PVSP,2024-02-29,Q,15.4471,-0.7878
LEN.B,2024-02-29,Q,2.4315,0.1057
WGO,2024-02-29,Q,-0.6289,0.5245
CCEL,2024-02-29,Q,-28.5798,-1.0189
COST,2024-02-29,Q,6.5465,0.3345
FDX,2024-02-29,Q,1.8904,0.7655
MLKN,2024-02-29,Q,0.8615,0.9572
AIR,2024-02-29,Q,0.9704,0.2352
ADBE,2024-02-29,Q,3.5231,0.2351
SCS,2024-02-29,Q,1.5974,0.5031
ACN,2024-02-29,Q,6.0982,0.0065
KMX,2024-02-29,Q,0.2092,3.0882
CNXC,2024-02-29,Q,0.5703,1.228
NTIC,2024-02-29,Q,2.5971,0.0553
PCYO,2024-02-29,Q,0.0927,0.0573
KMX,2024-02-29,A,1.9939,3.0882
GBX,2024-02-29,Q,1.1682,1.1843
NVOS,2024-02-29,Q,-12.5058,0.1302
LEDS,2024-02-29,Q,-13.2556,1.2836
SCS,2024-02-29,A,6.0822,0.5031
