ticker,comp_name,exchange,per_end_date,per_type,filing_date,filing_type,zacks_sector_code,lterm_debt_net_tot,eps_diluted_net_basic
REVG,REV Group,NYSE,2024-01-31,Q,2024-03-06,10-Q,15.0,-150.0,3.06
TGT,Target,NYSE,2024-01-31,Q,2024-03-13,10-Q,3.0,-147.0,2.99
TGT,Target,NYSE,2024-01-31,A,2024-03-13,10-K,3.0,-147.0,8.94
CHPT,ChargePoint,NYSE,2024-01-31,A,2024-04-01,10-K,5.0,283.704,-1.22
DTGI,Digerati Technologies,NASDAQ Other OTC,2024-01-31,Q,2024-03-22,10-Q,10.0,-0.355,-0.02
AVGO,Broadcom,NASDAQ,2024-01-31,Q,2024-03-14,10-Q,10.0,29076.0,0.284
FGPRQ,Ferrellgas Partners,NASDAQ Other OTC,2024-01-31,Q,2024-03-08,10-Q,12.0,-1.516,2.31
HMLA,"Himalaya Technologies, Inc.",NASDAQ Other OTC,2024-01-31,Q,2024-03-26,10-Q,13.0,-0.0001,0.0
JILL,J.Jill,NYSE,2024-01-31,Q,2024-04-04,10-Q,3.0,-65.042,0.33
JILL,J.Jill,NYSE,2024-01-31,A,2024-04-04,10-K,3.0,-65.042,2.51
KSS,Kohl's,NYSE,2024-01-31,Q,2024-03-21,10-Q,3.0,-340.0,1.67
LAKE,Lakeland Industries,NASDAQ,2024-01-31,Q,2024-04-11,10-Q,7.0,0.731,-0.12
LAKE,Lakeland Industries,NASDAQ,2024-01-31,A,2024-04-11,10-K,7.0,0.731,0.72
RENT,Rent the Runway,NASDAQ,2024-01-31,A,2024-04-11,10-K,3.0,306.7,-33.12
AVAV,AeroVironment,NASDAQ,2024-01-31,Q,2024-03-05,10-Q,11.0,-95.0,0.5
RENT,Rent the Runway,NASDAQ,2024-01-31,Q,2024-04-11,10-Q,3.0,306.7,-7.05
NAPA,The Duckhorn Portfolio,NYSE,2024-01-31,Q,2024-03-07,10-Q,1.0,-5.0,0.14
KSS,Kohl's,NYSE,2024-01-31,A,2024-03-21,10-K,3.0,-340.0,2.85
DOMO,Domo,NASDAQ,2024-01-31,Q,2024-03-28,10-Q,10.0,113.534,-0.51
DOMO,Domo,NASDAQ,2024-01-31,A,2024-03-28,10-K,10.0,113.534,-2.1
CAL,Caleres,NYSE,2024-01-31,A,2024-04-02,10-K,2.0,-125.5,4.8
CAL,Caleres,NYSE,2024-01-31,Q,2024-04-02,10-Q,2.0,-125.5,1.56
HEI.A,Heico,NYSE,2024-01-31,Q,2024-02-28,10-Q,11.0,2495.726,0.82
HEI,Heico,NYSE,2024-01-31,Q,2024-02-28,10-Q,11.0,2495.726,0.82
SKIL,Skillsoft,NYSE,2024-01-31,A,2024-04-15,10-K,16.0,-6.404,-43.38
SKIL,Skillsoft,NYSE,2024-01-31,Q,2024-04-15,10-Q,16.0,-6.404,-30.51
NDSN,Nordson,NASDAQ,2024-01-31,Q,2024-02-22,10-Q,7.0,-108.683,1.9
PD,PagerDuty,NYSE,2024-01-31,A,2024-03-15,10-K,10.0,112.054,-0.89
DLTR,Dollar Tree,NASDAQ,2024-01-31,Q,2024-03-20,10-Q,3.0,3426.3,-7.78
DLTR,Dollar Tree,NASDAQ,2024-01-31,A,2024-03-20,10-K,3.0,3426.3,-4.55
PD,PagerDuty,NYSE,2024-01-31,Q,2024-03-15,10-Q,10.0,112.054,-0.34
DLTH,Duluth Holdings,NASDAQ,2024-01-31,Q,2024-03-22,10-Q,2.0,-3.609,0.22
RFL,Rafael Holdings,NYSE,2024-01-31,Q,2024-03-14,10-Q,4.0,-0.8,0.25
RFIL,RF Industries,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,10.0,-1.106,-0.13
PDCO,Patterson Companies,NASDAQ,2024-01-31,Q,2024-02-28,10-Q,4.0,-35.25,0.52
SJM,The J. M. Smucker Co.,NYSE,2024-01-31,Q,2024-02-27,10-Q,1.0,2757.6,1.13
VRNT,Verint Systems,NASDAQ,2024-01-31,A,2024-03-27,10-K,10.0,-3.084,0.28
VRNT,Verint Systems,NASDAQ,2024-01-31,Q,2024-03-27,10-Q,10.0,-3.084,0.36
MSS,Maison Solutions Inc.,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,2.0,-0.2975,-0.03
DLTH,Duluth Holdings,NASDAQ,2024-01-31,A,2024-03-22,10-K,2.0,-3.609,-0.28
BRRE,Blue Ridge Real Estate Co.,NASDAQ Other OTC,2024-01-31,Q,2024-03-18,10-Q,13.0,0.0115,-0.11
BBWI,"Bath & Body Works, Inc.",NYSE,2024-01-31,A,2024-03-22,10-K,3.0,-462.0,3.84
LE,Land's End,NASDAQ,2024-01-31,A,2024-04-03,10-K,3.0,-91.863,-4.09
