ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
OKTA,2024-04-30,Q,-0.5627,0.194
CURV,2024-04-30,Q,14.1738,-1.5136
AVO,2024-04-30,Q,0.9605,0.3598
CDMO,2024-04-30,Q,-55.5566,2.6391
KEQU,2024-04-30,A,22.7237,0.5618
BURL,2024-04-30,Q,3.4617,1.3625
DELL,2024-04-30,Q,5.7326,-9.3573
NTRB,2024-04-30,Q,-13.8166,0.0376
VLGEA,2024-04-30,Q,1.7165,0.2225
WOOF,2024-04-30,Q,-1.6984,1.3578
JILL,2024-04-30,Q,9.6962,2.9077
SGMA,2024-04-30,Q,-4.6521,1.1343
PHR,2024-04-30,Q,-7.5438,0.065
TTC,2024-04-30,Q,5.4545,0.6157
TGT,2024-04-30,Q,3.4471,1.1634
CIEN,2024-04-30,Q,-0.3811,0.539
WMT,2024-04-30,Q,4.0808,0.5693
LE,2024-04-30,Q,-1.2689,1.2195
CASY,2024-04-30,A,10.9169,0.5425
SGMA,2024-04-30,A,-3.4264,1.1343
OLLI,2024-04-30,Q,3.022,0.0011
CASY,2024-04-30,Q,1.8925,0.5425
BRC,2024-04-30,Q,4.6865,0.0624
SMAR,2024-04-30,Q,-1.3945,0.001
DLTH,2024-04-30,Q,-2.8739,0.3413
MDT,2024-04-30,Q,0.8877,0.4963
DTGI,2024-04-30,Q,12.3928,-1.3062
SRCO,2024-04-30,Q,-0.665,-0.8102
DLTR,2024-04-30,Q,2.7943,0.4687
NIMU,2024-04-30,Q,14.7651,-0.6266
PANW,2024-04-30,Q,6.2402,0.2602
ENZ,2024-04-30,Q,-3.079,0.056
NTNX,2024-04-30,Q,-2.3932,-2.0533
SAIC,2024-04-30,Q,2.0522,1.1842
MDT,2024-04-30,A,4.9817,0.4963
ODC,2024-04-30,Q,3.1898,0.2063
SWBI,2024-04-30,Q,5.5151,0.1891
SKIL,2024-04-30,Q,-3.6432,3.2
MSS,2024-04-30,Q,-22.067,1.6531
THO,2024-04-30,Q,2.1769,0.3274
KEQU,2024-04-30,Q,13.3299,0.5618
RENT,2024-04-30,Q,-12.8056,-2.2159
VODG,2024-04-30,Q,68.5397,-0.8076
FL,2024-04-30,Q,0.2405,0.1545
CDMO,2024-04-30,A,-63.5216,2.6391
PLAB,2024-04-30,Q,4.1133,0.0159
DAKT,2024-04-30,Q,0.7638,0.3869
GCO,2024-04-30,Q,-3.9954,0.1084
PURE,2024-04-30,Q,-337.4013,-1.1184
MTN,2024-04-30,Q,9.4817,2.0943
KEYS,2024-04-30,Q,2.0663,0.3661
DAKT,2024-04-30,A,11.0489,0.3185
PLCE,2024-04-30,Q,-28.6793,-11.2693
HMLA,2024-04-30,Q,65.9992,-0.2128
SRCO,2024-04-30,A,6.7476,-0.8102
VSCO,2024-04-30,Q,-0.1918,2.5236
BIGGQ,2024-04-30,Q,-31.2895,7.0461
TJX,2024-04-30,Q,10.3232,0.3816
ADSK,2024-04-30,Q,5.668,1.0574
DKS,2024-04-30,Q,6.6006,0.552
BF.B,2024-04-30,Q,4.5169,0.8814
AMWD,2024-04-30,Q,2.0901,0.4113
FCEL,2024-04-30,Q,-4.8145,0.2174
ALOT,2024-04-30,Q,1.1745,0.1709
JVA,2024-04-30,Q,-0.0908,0.1249
BBY,2024-04-30,Q,5.8349,0.3728
CRWD,2024-04-30,Q,1.397,0.2892
NCNO,2024-04-30,Q,-0.1961,0.1023
BBWI,2024-04-30,Q,3.3385,-2.5549
CPB,2024-04-30,Q,1.3758,1.8337
NAPA,2024-04-30,Q,0.8519,0.2502
RH,2024-04-30,Q,-0.1355,-10.3703
ESTC,2024-04-30,Q,-3.1451,0.7703
AVGO,2024-04-30,Q,1.4984,1.058
DY,2024-04-30,Q,3.2528,0.7958
AMWD,2024-04-30,A,9.0642,0.4113
JWN,2024-04-30,Q,-1.1304,3.1268
NVDA,2024-04-30,Q,25.8342,0.1976
KSS,2024-04-30,Q,-0.3333,1.2392
YYAI,2024-04-30,Q,-133.1187,0.2848
HEI,2024-04-30,Q,2.3147,0.6941
AVAV,2024-04-30,A,7.1045,0.0329
MAMA,2024-04-30,Q,2.0997,0.4835
HEI.A,2024-04-30,Q,2.3147,0.6941
PD,2024-04-30,Q,-2.7855,2.5781
PDCO,2024-04-30,A,13.9421,0.6366
YYAI,2024-04-30,A,-162.8825,0.2848
AVAV,2024-04-30,Q,0.7199,0.0329
PDCO,2024-04-30,Q,5.0307,0.6366
PSTG,2024-04-30,Q,-2.3751,0.0728
DCI,2024-04-30,Q,5.7737,0.3748
OOMA,2024-04-30,Q,-2.3127,0.142
CHPT,2024-04-30,Q,-12.7617,1.0243
CRM,2024-04-30,Q,2.2507,0.158
WLY,2024-04-30,A,-13.2942,1.0472
KR,2024-04-30,Q,3.9126,0.9844
WLY,2024-04-30,Q,1.6767,1.0472
WLYB,2024-04-30,A,-13.2942,1.0472
WLYB,2024-04-30,Q,1.6767,1.0472
BF.A,2024-04-30,A,17.3884,0.8814
BF.A,2024-04-30,Q,4.5169,0.8814
FGPRQ,2024-04-30,Q,9.7356,-1.6
BF.B,2024-04-30,A,17.3884,0.8814
CBRL,2024-04-30,Q,-1.0235,1.107
BBCP,2024-04-30,Q,0.4474,1.2617
LAKE,2024-04-30,Q,1.1972,0.1036
M,2024-04-30,Q,0.863,0.7162
CMTL,2024-04-30,Q,0.3806,0.2799
SMTC,2024-04-30,Q,-2.1841,-4.3866
BUKS,2024-04-30,A,14.2693,0.7
DBI,2024-04-30,Q,0.1069,1.3281
ESTC,2024-04-30,A,4.723,0.7703
NDSN,2024-04-30,Q,2.8047,0.5564
BUKS,2024-04-30,Q,5.0864,0.7
HOFT,2024-04-30,Q,-1.863,0.1026
PLAY,2024-04-30,Q,2.6174,4.4383
CRMT,2024-04-30,Q,0.0905,1.6027
VRNT,2024-04-30,Q,1.25,0.5023
MDB,2024-04-30,Q,-3.3394,0.9014
CRMT,2024-04-30,A,-6.6687,1.6027
HQY,2024-04-30,Q,0.953,0.4413
DG,2024-04-30,Q,2.7477,0.9988
CVGW,2024-04-30,Q,2.5312,0.2481
RCAT,2024-04-30,Q,-15.2905,0.0173
BOX,2024-04-30,Q,-64.8639,-0.9333
HPQ,2024-04-30,Q,7.2167,-10.4716
GEF,2024-04-30,Q,1.0685,1.4447
OCC,2024-04-30,Q,-4.9296,0.49
PNST,2024-04-30,A,-446.3499,-1.0917
PNST,2024-04-30,Q,-1044.196,-1.0917
MEI,2024-04-30,Q,-5.2248,0.432
TOL,2024-04-30,Q,4.7396,0.3874
SPWH,2024-04-30,Q,-7.2985,0.6627
ASAN,2024-04-30,Q,-17.5893,0.1325
PVH,2024-04-30,Q,2.1013,0.4265
ASO,2024-04-30,Q,3.1999,0.2556
IVDN,2024-04-30,Q,1.65,0.0325
HPE,2024-04-30,Q,1.0745,0.5179
UNFI,2024-04-30,Q,-0.5208,1.2909
CAL,2024-04-30,Q,5.3373,0.331
TPET,2024-04-30,Q,-41.518,0.0563
ABM,2024-04-30,Q,1.4209,0.6892
BNED,2024-04-30,Q,-10.2789,2.7818
ZUO,2024-04-30,Q,-2.7328,2.601
BNED,2024-04-30,A,-23.4085,2.7818
VNCE,2024-04-30,Q,4.3043,0.9699
MRVL,2024-04-30,Q,-1.165,0.2863
LMNR,2024-04-30,Q,2.5283,0.301
GIII,2024-04-30,Q,0.2888,0.2805
RFL,2024-04-30,Q,-68.7333,0.0263
SJM,2024-04-30,A,5.1425,1.0871
PPIH,2024-04-30,Q,2.5712,0.2362
BRID,2024-04-30,Q,-1.6767,0.0265
RFIL,2024-04-30,Q,-12.4072,0.3022
SJM,2024-04-30,Q,1.6941,1.0871
HOV,2024-04-30,Q,6.9391,1.5741
COO,2024-04-30,Q,0.8487,0.3476
RCAT,2024-04-30,A,-49.4134,0.0173
VIRC,2024-04-30,Q,2.1747,0.0766
AXR,2024-04-30,A,5.6671,0.0003
SWBI,2024-04-30,A,8.3661,0.1891
GMS,2024-04-30,A,10.2622,0.8768
LOW,2024-04-30,Q,8.768,-2.459
TITN,2024-04-30,Q,1.2292,1.727
MEI,2024-04-30,A,-11.2428,0.432
GMS,2024-04-30,Q,2.096,0.8768
STRM,2024-04-30,Q,-9.7895,0.7181
HSCS,2024-04-30,Q,-25.2301,0.0683
SNPS,2024-04-30,Q,4.1269,0.0024
GEF.B,2024-04-30,Q,1.0685,1.4447
MAYS,2024-04-30,Q,-0.1457,0.1005
BRRE,2024-04-30,Q,-2.4989,0.0005
ADI,2024-04-30,Q,0.722,0.2286
HSCS,2024-04-30,A,-90.2684,0.0683
KFY,2024-04-30,A,8.0852,0.2285
HRL,2024-04-30,Q,1.7602,0.4825
WDAY,2024-04-30,Q,0.9602,0.3652
INTU,2024-04-30,Q,9.6685,0.3173
KFY,2024-04-30,Q,3.0742,0.2285
CNM,2024-04-30,Q,2.4969,1.4745
GES,2024-04-30,Q,1.3654,0.9864
GME,2024-04-30,Q,-2.4429,0.0197
KIRK,2024-04-30,Q,-20.9858,-8.6992
DOMO,2024-04-30,Q,52.6906,-0.6981
AXR,2024-04-30,Q,3.5104,0.0003
MSS,2024-04-30,A,-25.6296,1.6531
NX,2024-04-30,Q,2.4895,0.0957
RMCF,2024-05-31,Q,-18.3855,0.2218
HELE,2024-05-31,Q,0.2708,0.483
CNXC,2024-05-31,Q,0.742,1.2062
RPM,2024-05-31,A,13.0895,0.8467
APOG,2024-05-31,Q,5.568,0.1604
DRI,2024-05-31,Q,8.5804,0.6498
TLRY,2024-05-31,Q,-0.4121,0.0949
AXIL,2024-05-31,A,26.029,0.0254
LOOP,2024-05-31,Q,-35.0064,0.6257
AZO,2024-05-31,Q,17.8162,-1.8594
PVSP,2024-05-31,Q,24.377,-0.7206
NKE,2024-05-31,Q,6.7165,0.6174
GIS,2024-05-31,A,12.0204,1.3401
BB,2024-05-31,Q,-4.4872,0.2615
GIS,2024-05-31,Q,2.6713,1.3401
FDS,2024-05-31,Q,5.0506,0.7553
PCYO,2024-05-31,Q,2.1724,0.056
AXIL,2024-05-31,Q,0.6434,0.0254
DRI,2024-05-31,A,28.5228,0.6498
EACO,2024-05-31,Q,0.976,0.0374
WGO,2024-05-31,Q,1.4835,0.5275
PSMT,2024-05-31,Q,2.7215,0.1325
RDUS,2024-05-31,Q,-18.8761,0.6366
MKC,2024-05-31,Q,1.9286,0.8339
STZ,2024-05-31,Q,4.2005,1.124
SCHL,2024-05-31,A,1.1885,0.0059
