ticker,per_end_date,per_type,shares_out
GEO,2024-03-31,Q,126.9
SLAB,2024-03-31,Q,31.92
SKYW,2024-03-31,Q,40.26
SKX,2024-03-31,Q,152.52
SIGI,2024-03-31,Q,60.79
CTOS,2024-03-31,Q,250.07
CTO,2024-03-31,Q,22.95
SIF,2024-03-31,Q,6.19
GMRE,2024-03-31,Q,65.57
CTRA,2024-03-31,Q,751.85
SILA,2024-03-31,Q,57.22
SIEB,2024-03-31,Q,39.58
GNK,2024-03-31,Q,42.75
SHYF,2024-03-31,Q,34.37
SHW,2024-03-31,Q,253.55
GNTY,2024-03-31,Q,11.53
GNW,2024-03-31,Q,437.72
GO,2024-03-31,Q,100.09
GOCO,2024-03-31,Q,22.68
GOEV,2024-03-31,Q,66.41
GOGO,2024-03-31,Q,128.07
CTNT,2024-03-31,Q,1.12
GNL,2024-03-31,Q,230.85
SIDU,2024-03-31,Q,4.18
GNRC,2024-03-31,Q,60.42
SIBN,2024-03-31,Q,41.2
GM,2024-03-31,Q,1140.96
SITE,2024-03-31,Q,45.21
GLDD,2024-03-31,Q,66.74
DFLI,2024-03-31,Q,6.7
SITC,2024-03-31,Q,52.39
SISI,2024-03-31,Q,0.27
GIPR,2024-03-31,Q,5.42
GDOT,2024-03-31,Q,53.16
TELO,2024-03-31,Q,29.61
GKOS,2024-03-31,Q,50.19
GL,2024-03-31,Q,94.04
GLAD,2024-03-31,Q,21.75
GLPI,2024-03-31,Q,271.5
SINT,2024-03-31,Q,0.26
GLRE,2024-03-31,Q,35.32
CTRI,2024-03-31,Q,86.66
CTRE,2024-03-31,Q,134.99
GLW,2024-03-31,Q,856.62
DFIN,2024-03-31,Q,29.32
SIRI,2024-03-31,Q,384.66
DFH,2024-03-31,Q,93.27
TFX,2024-03-31,Q,47.1
DFCO,2024-03-31,Q,97.05
GLP,2024-03-31,Q,33.86
SND,2024-03-31,Q,42.36
SNCY,2024-03-31,Q,52.61
FSK,2024-03-31,Q,280.07
SNCR,2024-03-31,Q,10.31
FSLR,2024-03-31,Q,107.04
FSLY,2024-03-31,Q,136.6
FSP,2024-03-31,Q,103.43
SNDA,2024-03-31,Q,13.85
FSBC,2024-03-31,Q,17.35
SNDX,2024-03-31,Q,84.96
FSBW,2024-03-31,Q,7.81
SNDR,2024-03-31,Q,175.57
CVEO,2024-03-31,Q,14.62
FSEA,2024-03-31,Q,5.08
FSFG,2024-03-31,Q,6.88
CVCO,2024-03-31,Q,8.35
FTDR,2024-03-31,Q,77.79
FTEL,2024-03-31,Q,11.12
FTHM,2024-03-31,Q,20.78
DHX,2024-03-31,Q,48.03
FTI,2024-03-31,Q,430.97
FSS,2024-03-31,Q,61.1
SNAP,2024-03-31,Q,1641.04
FSTR,2024-03-31,Q,10.97
SNA,2024-03-31,Q,52.72
TEAM,2024-03-31,Q,260.3
SMXT,2024-03-31,Q,45.25
TISI,2024-03-31,Q,4.42
SNES,2024-03-31,Q,0.51
TDW,2024-03-31,Q,52.27
DIN,2024-03-31,Q,15.4
FRD,2024-03-31,Q,6.98
FRBA,2024-03-31,Q,19.57
CVI,2024-03-31,Q,100.53
SNV,2024-03-31,Q,146.44
FPAY,2024-03-31,Q,21.75
TDUP,2024-03-31,Q,110.22
FPH,2024-03-31,Q,148.29
FPI,2024-03-31,Q,48.15
FR,2024-03-31,Q,132.34
DINO,2024-03-31,Q,197.15
SNSE,2024-03-31,Q,25.08
FRAF,2024-03-31,Q,4.39
TIPT,2024-03-31,Q,36.78
CVGI,2024-03-31,Q,33.88
FRST,2024-03-31,Q,24.68
FRT,2024-03-31,Q,82.95
SNFCA,2024-03-31,Q,24.17
SNEX,2024-03-31,Q,31.55
FRZA,2024-03-31,Q,15.76
FRPT,2024-03-31,Q,48.43
TDY,2024-03-31,Q,47.38
FRHC,2024-03-31,Q,55.31
FRME,2024-03-31,Q,58.58
FTK,2024-03-31,Q,29.66
GBCI,2024-03-31,Q,113.39
GBDC,2024-03-31,Q,171.52
SM,2024-03-31,Q,115.04
GBNHF,2024-03-31,Q,40.8
SLVM,2024-03-31,Q,41.46
GALT,2024-03-31,Q,61.9
GAMI,2024-03-31,Q,24.78
GAN,2024-03-31,Q,45.11
GANX,2024-03-31,Q,18.05
DHC,2024-03-31,Q,240.42
SMC,2024-03-31,Q,10.65
SMBK,2024-03-31,Q,17.06
GATO,2024-03-31,Q,69.18
SMBC,2024-03-31,Q,11.37
GATX,2024-03-31,Q,35.6
GBNY,2024-03-31,Q,2.24
GCT,2024-03-31,Q,40.8
GCTK,2024-03-31,Q,5.35
GCTS,2024-03-31,Q,45.83
GD,2024-03-31,Q,274.36
GDDY,2024-03-31,Q,142.69
GDEN,2024-03-31,Q,28.95
SLQT,2024-03-31,Q,168.99
GBTG,2024-03-31,Q,472.62
DH,2024-03-31,Q,117.79
GCBC,2024-03-31,Q,17.03
DGX,2024-03-31,Q,111.09
SLRC,2024-03-31,Q,54.56
GCI,2024-03-31,Q,147.55
GCMG,2024-03-31,Q,187.23
SLNH,2024-03-31,Q,3.8
DHR,2024-03-31,Q,740.69
FULT,2024-03-31,Q,162.18
FUN,2024-03-31,Q,51.25
FUNC,2024-03-31,Q,6.64
FUSB,2024-03-31,Q,5.79
CUZ,2024-03-31,Q,152.07
FTNT,2024-03-31,Q,763.33
CVBF,2024-03-31,Q,139.68
FTRE,2024-03-31,Q,89.37
FTV,2024-03-31,Q,352.03
FVCB,2024-03-31,Q,17.88
TECH,2024-03-31,Q,157.19
FYBR,2024-03-31,Q,248.55
SMHI,2024-03-31,Q,27.6
G,2024-03-31,Q,180.33
GABC,2024-03-31,Q,29.58
GAHC,2024-03-31,Q,1479.88
GAIA,2024-03-31,Q,23.16
SMP,2024-03-31,Q,21.82
CUTR,2024-03-31,Q,19.94
FWRD,2024-03-31,Q,26.37
FWRG,2024-03-31,Q,60.37
GOLF,2024-03-31,Q,63.32
HHH,2024-03-31,Q,50.25
SDIG,2024-03-31,Q,15.31
CSPI,2024-03-31,Q,9.71
SDGR,2024-03-31,Q,72.68
TEVA,2024-03-31,Q,1132.64
HIG,2024-03-31,Q,295.76
TLS,2024-03-31,Q,73.31
SDHC,2024-03-31,Q,51.28
HG,2024-03-31,Q,111.0
HGBL,2024-03-31,Q,37.34
SDOT,2024-03-31,Q,5.18
HGTY,2024-03-31,Q,336.74
HGV,2024-03-31,Q,104.75
HIW,2024-03-31,Q,106.0
TLSI,2024-03-31,Q,26.76
CSL,2024-03-31,Q,47.6
TEX,2024-03-31,Q,67.3
DDOG,2024-03-31,Q,333.97
HL,2024-03-31,Q,616.79
HLF,2024-03-31,Q,99.97
HFWA,2024-03-31,Q,34.69
HII,2024-03-31,Q,39.43
HFFG,2024-03-31,Q,52.16
HCWB,2024-03-31,Q,37.82
SEI,2024-03-31,Q,44.02
CSTAF,2024-03-31,Q,12.24
SEELQ,2024-03-31,Q,0.13
HCKT,2024-03-31,Q,27.58
HCMC,2024-03-31,Q,479266.63
SEM,2024-03-31,Q,128.36
SELF,2024-03-31,Q,11.26
CSTL,2024-03-31,Q,27.61
HE,2024-03-31,Q,110.3
HES,2024-03-31,Q,308.11
HESM,2024-03-31,Q,223.55
DEA,2024-03-31,Q,103.0
CSR,2024-03-31,Q,14.91
HFBL,2024-03-31,Q,3.14
HEAR,2024-03-31,Q,21.52
SEE,2024-03-31,Q,145.61
HEES,2024-03-31,Q,36.53
SEDG,2024-03-31,Q,57.3
CSSEQ,2024-03-31,Q,32.39
SEB,2024-03-31,Q,0.97
SEAT,2024-03-31,Q,218.27
HOUS,2024-03-31,Q,111.08
HOWL,2024-03-31,Q,43.46
HP,2024-03-31,Q,98.72
HPH,2024-03-31,Q,247.03
SCCO,2024-03-31,Q,781.16
HPK,2024-03-31,Q,127.86
DDD,2024-03-31,Q,133.43
HOMB,2024-03-31,Q,201.14
SCL,2024-03-31,Q,22.48
HON,2024-03-31,Q,651.19
HONE,2024-03-31,Q,45.17
HOOD,2024-03-31,Q,878.36
HOPE,2024-03-31,Q,120.61
SCI,2024-03-31,Q,146.51
SCHW,2024-03-31,Q,1776.06
HPP,2024-03-31,Q,141.15
SBT,2024-03-31,Q,52.05
HRGN,2024-03-31,Q,14.31
HRI,2024-03-31,Q,28.37
SBSI,2024-03-31,Q,30.28
DCTH,2024-03-31,Q,27.78
SBSAA,2024-03-31,Q,8.55
HRMY,2024-03-31,Q,56.79
HROW,2024-03-31,Q,35.38
SBRA,2024-03-31,Q,231.5
HRTG,2024-03-31,Q,30.64
HRTX,2024-03-31,Q,150.64
SBUX,2024-03-31,Q,1132.7
TFIN,2024-03-31,Q,23.33
HQI,2024-03-31,Q,14.0
HR,2024-03-31,Q,381.5
DD,2024-03-31,Q,418.1
HRB,2024-03-31,Q,139.52
SCPX,2024-03-31,Q,0.18
SCPH,2024-03-31,Q,36.05
HMN,2024-03-31,Q,40.94
HLX,2024-03-31,Q,152.45
HLIO,2024-03-31,Q,33.2
HLIT,2024-03-31,Q,116.54
TFC,2024-03-31,Q,1338.1
HLLY,2024-03-31,Q,118.31
SCSC,2024-03-31,Q,25.17
HLMN,2024-03-31,Q,195.94
HLNE,2024-03-31,Q,54.21
HLT,2024-03-31,Q,250.05
HCI,2024-03-31,Q,10.28
HNRG,2024-03-31,Q,36.53
HNST,2024-03-31,Q,97.03
HNVR,2024-03-31,Q,7.23
SCM,2024-03-31,Q,24.13
SCLX,2024-03-31,Q,166.19
CSGS,2024-03-31,Q,29.36
HOFV,2024-03-31,Q,6.5
HOG,2024-03-31,Q,134.51
CSGP,2024-03-31,Q,408.34
HNNA,2024-03-31,Q,7.68
SCOR,2024-03-31,Q,4.82
HNI,2024-03-31,Q,47.3
HMST,2024-03-31,Q,18.86
HMY,2024-03-31,Q,632.63
SEMR,2024-03-31,Q,144.73
GRTSQ,2024-03-31,Q,107.13
SGU,2024-03-31,Q,35.57
GS,2024-03-31,Q,322.46
DENN,2024-03-31,Q,52.02
GSAT,2024-03-31,Q,1883.92
GSBC,2024-03-31,Q,11.66
GSBD,2024-03-31,Q,112.1
CTGO,2024-03-31,Q,9.63
SHC,2024-03-31,Q,283.07
GRND,2024-03-31,Q,175.39
GRNQ,2024-03-31,Q,7.52
GRNT,2024-03-31,Q,130.45
SHBI,2024-03-31,Q,33.21
GROM,2024-03-31,Q,8.92
GROV,2024-03-31,Q,38.18
GROW,2024-03-31,Q,13.98
SHAK,2024-03-31,Q,42.31
GRPN,2024-03-31,Q,39.1
GT,2024-03-31,Q,283.95
GTE,2024-03-31,Q,31.33
GTEC,2024-03-31,Q,13.6
GSHD,2024-03-31,Q,37.99
SGRY,2024-03-31,Q,127.1
SGRP,2024-03-31,Q,24.22
TLF,2024-03-31,Q,8.4
SHCO,2024-03-31,Q,195.67
GPI,2024-03-31,Q,13.53
CTM,2024-03-31,Q,53.03
GPK,2024-03-31,Q,307.29
GPMT,2024-03-31,Q,50.79
GPN,2024-03-31,Q,255.25
SHO,2024-03-31,Q,203.69
GPOR,2024-03-31,Q,18.12
GPRE,2024-03-31,Q,64.62
GPC,2024-03-31,Q,139.3
GOOD,2024-03-31,Q,40.31
GOOG,2024-03-31,Q,12358.0
GOOGL,2024-03-31,Q,12358.0
GORV,2024-03-31,Q,14.06
GOSS,2024-03-31,Q,226.22
TFSL,2024-03-31,Q,280.71
GPRO,2024-03-31,Q,149.9
SHFS,2024-03-31,Q,55.43
CTKB,2024-03-31,Q,131.26
GREE,2024-03-31,Q,9.79
SHEN,2024-03-31,Q,54.55
DERM,2024-03-31,Q,19.93
SHECY,2024-03-31,Q,4003.38
GRC,2024-03-31,Q,26.21
GRBK,2024-03-31,Q,44.93
CTLT,2024-03-31,Q,180.98
SHLS,2024-03-31,Q,170.42
CTLP,2024-03-31,Q,72.8
GPUS,2024-03-31,Q,30.07
TENB,2024-03-31,Q,118.74
SHIM,2024-03-31,Q,25.68
GTES,2024-03-31,Q,261.38
SFBC,2024-03-31,Q,2.56
HAS,2024-03-31,Q,139.22
HASI,2024-03-31,Q,113.77
SF,2024-03-31,Q,102.65
SEZL,2024-03-31,Q,5.66
CSX,2024-03-31,Q,1954.93
HAYW,2024-03-31,Q,214.72
SFBS,2024-03-31,Q,54.51
HAE,2024-03-31,Q,50.79
HAFC,2024-03-31,Q,30.28
HAIN,2024-03-31,Q,89.83
HAL,2024-03-31,Q,885.3
HALO,2024-03-31,Q,127.05
HBAN,2024-03-31,Q,1448.07
HBT,2024-03-31,Q,31.59
SENS,2024-03-31,Q,530.82
HCA,2024-03-31,Q,264.48
SENEA,2024-03-31,Q,7.12
HCC,2024-03-31,Q,52.3
DCOM,2024-03-31,Q,38.88
CSWC,2024-03-31,Q,42.98
CSV,2024-03-31,Q,15.16
HBCP,2024-03-31,Q,8.15
SERV,2024-03-31,Q,36.94
HBI,2024-03-31,Q,351.56
SERA,2024-03-31,Q,32.57
DCO,2024-03-31,Q,14.72
HBIO,2024-03-31,Q,43.4
SER,2024-03-31,Q,8.41
HBNC,2024-03-31,Q,44.11
H,2024-03-31,Q,101.17
SGC,2024-03-31,Q,16.75
SGBX,2024-03-31,Q,1.1
GTX,2024-03-31,Q,225.99
GTY,2024-03-31,Q,53.97
SGAPY,2024-03-31,Q,1651.4
GURE,2024-03-31,Q,10.43
GTHP,2024-03-31,Q,55.76
SGHT,2024-03-31,Q,49.55
GTIM,2024-03-31,Q,11.0
CTCX,2024-03-31,Q,19.36
GTLS,2024-03-31,Q,42.8
GTN,2024-03-31,Q,99.19
GTN.A,2024-03-31,Q,99.19
GUTS,2024-03-31,Q,47.88
GWRS,2024-03-31,Q,24.5
GWW,2024-03-31,Q,49.07
GXO,2024-03-31,Q,119.42
CTBI,2024-03-31,Q,18.02
SFNC,2024-03-31,Q,125.33
SFM,2024-03-31,Q,100.48
GVA,2024-03-31,Q,44.15
DEI,2024-03-31,Q,167.35
SFST,2024-03-31,Q,8.16
ELS,2024-03-31,Q,186.5
ELUT,2024-03-31,Q,24.27
ELV,2024-03-31,Q,232.42
ELTP,2024-03-31,Q,1068.27
ELME,2024-03-31,Q,88.0
SVC,2024-03-31,Q,165.77
CYTK,2024-03-31,Q,104.58
THFF,2024-03-31,Q,11.81
SURG,2024-03-31,Q,19.29
EMKR,2024-03-31,Q,7.73
EML,2024-03-31,Q,6.23
EMMA,2024-03-31,Q,61.85
EMN,2024-03-31,Q,117.65
DNB,2024-03-31,Q,442.72
THG,2024-03-31,Q,35.93
EMR,2024-03-31,Q,572.1
SUNE,2024-03-31,Q,0.09
SUN,2024-03-31,Q,100.84
EMBC,2024-03-31,Q,57.58
SUP,2024-03-31,Q,28.6
EME,2024-03-31,Q,47.0
CZNC,2024-03-31,Q,15.38
EGHT,2024-03-31,Q,123.42
SVV,2024-03-31,Q,161.77
EGP,2024-03-31,Q,48.14
THCP,2024-03-31,Q,10.08
EFC,2024-03-31,Q,85.06
SWI,2024-03-31,Q,168.16
EFOI,2024-03-31,Q,4.44
EFSC,2024-03-31,Q,37.49
EFSH,2024-03-31,Q,0.03
EFTR,2024-03-31,Q,3.9
EFX,2024-03-31,Q,123.61
CZR,2024-03-31,Q,216.42
EG,2024-03-31,Q,43.46
EGAN,2024-03-31,Q,31.2
EGBN,2024-03-31,Q,29.93
EGY,2024-03-31,Q,104.34
SVT,2024-03-31,Q,2.55
EKSO,2024-03-31,Q,18.17
EL,2024-03-31,Q,358.56
ELA,2024-03-31,Q,26.35
ELAB,2024-03-31,Q,17.33
ELAN,2024-03-31,Q,494.1
ELEV,2024-03-31,Q,54.64
ELF,2024-03-31,Q,55.51
EHAB,2024-03-31,Q,50.16
EHC,2024-03-31,Q,100.68
EHTH,2024-03-31,Q,29.12
SVRA,2024-03-31,Q,138.18
EIX,2024-03-31,Q,384.75
DMSLQ,2024-03-31,Q,4.44
STRO,2024-03-31,Q,62.46
EPM,2024-03-31,Q,33.46
CYH,2024-03-31,Q,138.97
STRL,2024-03-31,Q,30.93
EPR,2024-03-31,Q,75.67
EPRT,2024-03-31,Q,175.31
TCMD,2024-03-31,Q,23.76
STRR,2024-03-31,Q,3.17
EOSE,2024-03-31,Q,206.78
EPAM,2024-03-31,Q,57.99
THMO,2024-03-31,Q,7.95
STRW,2024-03-31,Q,6.46
EPD,2024-03-31,Q,2168.25
STRT,2024-03-31,Q,4.07
STRS,2024-03-31,Q,8.07
DMRC,2024-03-31,Q,21.37
EQS,2024-03-31,Q,13.59
EQT,2024-03-31,Q,441.59
DMN,2024-03-31,Q,0.2
EQR,2024-03-31,Q,379.55
STRA,2024-03-31,Q,24.61
EQBK,2024-03-31,Q,15.34
STR,2024-03-31,Q,156.89
EQH,2024-03-31,Q,327.62
EQIX,2024-03-31,Q,94.62
DMTKQ,2024-03-31,Q,34.62
ENLC,2024-03-31,Q,451.3
