ticker,per_end_date,per_type,mkt_val
FLGC,2024-03-31,Q,29.61
FLGT,2024-03-31,Q,648.84
OPOF,2024-03-31,Q,89.13
FLL,2024-03-31,Q,192.67
OPRT,2024-03-31,Q,86.47
FLIC,2024-03-31,Q,249.11
OPRX,2024-03-31,Q,220.93
OSW,2024-03-31,Q,1328.01
OSUR,2024-03-31,Q,470.54
FFIE,2024-03-31,Q,15.97
OSS,2024-03-31,Q,67.69
FFWM,2024-03-31,Q,426.67
FG,2024-03-31,Q,5115.34
OSK,2024-03-31,Q,8156.17
FFNW,2024-03-31,Q,188.63
OTEX,2024-03-31,Q,10595.52
OTTW,2024-03-31,Q,28.14
OTTR,2024-03-31,Q,3603.79
FFDF,2024-03-31,Q,84.33
OTRK,2024-03-31,Q,24.3
FFIC,2024-03-31,Q,366.55
OTLK,2024-03-31,Q,262.83
OTLC,2024-03-31,Q,14.35
OTIS,2024-03-31,Q,40137.13
FGBI,2024-03-31,Q,126.92
OSIS,2024-03-31,Q,2434.9
FI,2024-03-31,Q,93510.98
ORRF,2024-03-31,Q,286.56
FIBK,2024-03-31,Q,2845.39
FICO,2024-03-31,Q,30879.04
ORN,2024-03-31,Q,269.42
ORMP,2024-03-31,Q,118.32
ORLY,2024-03-31,Q,66484.37
FHN,2024-03-31,Q,8546.14
FGEN,2024-03-31,Q,233.76
FGF,2024-03-31,Q,39.15
FGI,2024-03-31,Q,14.23
FHI,2024-03-31,Q,3039.82
OSBC,2024-03-31,Q,620.66
OSCR,2024-03-31,Q,3509.48
FLXS,2024-03-31,Q,192.1
OLB,2024-03-31,Q,10.33
FOR,2024-03-31,Q,2033.72
OKTA,2024-03-31,Q,17513.09
FORM,2024-03-31,Q,3532.59
FORR,2024-03-31,Q,411.95
OKE,2024-03-31,Q,46790.97
FOSL,2024-03-31,Q,53.99
FOUR,2024-03-31,Q,5704.62
OIS,2024-03-31,Q,395.57
FOX,2024-03-31,Q,13398.24
FONR,2024-03-31,Q,135.16
OMC,2024-03-31,Q,18948.87
FNWB,2024-03-31,Q,147.79
OM,2024-03-31,Q,114.78
OLPX,2024-03-31,Q,1270.58
OLP,2024-03-31,Q,480.11
FOA,2024-03-31,Q,70.98
OLLI,2024-03-31,Q,4876.94
FOLD,2024-03-31,Q,3489.22
OLN,2024-03-31,Q,7021.96
OGE,2024-03-31,Q,6878.79
OFS,2024-03-31,Q,133.04
FR,2024-03-31,Q,6953.21
OFIX,2024-03-31,Q,543.19
FRAF,2024-03-31,Q,115.07
OFG,2024-03-31,Q,1735.46
FRBA,2024-03-31,Q,268.88
OESX,2024-03-31,Q,28.33
OGN,2024-03-31,Q,4834.81
FOXA,2024-03-31,Q,14638.81
OII,2024-03-31,Q,2372.51
FOXF,2024-03-31,Q,2166.93
FOXO,2024-03-31,Q,3.64
OI,2024-03-31,Q,2583.42
FPI,2024-03-31,Q,534.52
OGS,2024-03-31,Q,3650.42
